D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-5.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 19:36:56 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,475.01,66.67,0,16.67,62.5,0,0,0,0,0,5881.05,610.01,1100.04,5167.49,2120.14,3833.79,9502.82,500.01,16.67,300,33.33,3150.33,2116.82
3.08,50,10903.48,13105.03,12.5,116.67,87.5,437.51,540.01,0,0,0,500.01,20,200,1783.43,1720.09,2300.17,9052.56,750.02,33.33,283.34,133.33,1533.41,1083.37
4.615,100,11979.2,14839.79,75,33.33,75,712.52,460.01,0,0,0,320,10,520.01,2050.13,1100.04,4300.58,9436.12,550.01,50,183.33,50,1183.38,2633.57
6.15,133.33,12579.63,17575.72,75,33.33,62.5,187.5,240,0,0,0,360,0,340,1733.43,1980.12,3100.3,9986.45,650.01,66.67,500.01,16.67,2866.94,1983.47
7.685,33.33,15031.62,18243.09,125,50,62.5,300,460.01,12.5,0,0,500.01,0,300,1633.42,1840.1,2133.48,6251.22,250,66.67,116.67,33.33,3933.84,1733.43
9.22,166.67,15657.18,17876.03,137.5,100,187.5,250,320,0,0,0,340,80,540.01,2633.55,7701.84,3817.12,11337.35,583.34,0,150,16.67,1166.71,1566.75
10.755,66.67,13330.2,16708.18,112.5,83.33,87.5,175,360,0,0,0,300,40,420.01,2066.8,1140.04,3567.06,9402.77,600.01,16.67,183.33,66.67,1483.41,1616.75
12.29,66.67,8502.12,11303.74,125,33.33,50,75,340,25,0,0,440.01,10,260,2183.48,1100.04,4083.85,13238.81,683.35,66.67,266.67,50,2033.47,2500.21
13.825,116.67,13280.16,20712.57,75,116.67,162.5,200,340,0,0,0,800.02,0,320,2000.12,1400.06,2716.9,8885.8,483.34,50,150,16.67,1616.75,1916.79
15.36,66.67,11453.84,17308.78,150,83.33,62.5,137.5,420.01,0,12.5,0,560.01,20,400,1933.45,620.01,3750.44,11787.68,633.35,16.67,166.67,0,1050.04,1583.42
