D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-103.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 03:36:57 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,225,66.67,0,33.33,112.5,0,40,0,12.5,0,3940.47,20,900.02,3667.08,640.01,3050.29,10169.9,483.34,16.67,216.67,0,933.36,1733.43
3.08,66.67,9152.45,13438.62,100,33.33,112.5,62.5,240,0,0,0,100,20,260,2266.83,640.01,3717.1,9135.94,500.01,116.67,116.67,16.67,1433.4,1283.39
4.615,150,8051.9,11603.95,75,16.67,112.5,237.5,340,12.5,0,16.67,520.01,50,200,1900.11,560.01,3233.66,9452.79,650.01,83.33,133.33,0,1516.74,1966.8
6.15,100,10953.51,13471.99,100,100,50,262.5,260,12.5,0,0,640.01,30,140,1666.75,500.01,2283.5,7151.6,383.34,0,133.33,33.33,1533.41,1883.45
7.685,33.33,8777.26,10369.82,50,50,125,137.5,160,0,0,33.33,280,50,100,2100.14,380,3883.8,10119.87,666.68,0,183.33,0,1683.43,1566.75
9.22,50,10853.45,14439.44,125,83.33,150,375,360,0,0,0,520.01,10,380,2100.14,400,3016.95,8719.04,516.68,50,166.67,0,1533.41,2183.49
10.755,50,11653.98,17842.66,150,33.33,75,400,420.01,37.5,0,0,720.02,0,220,1850.11,440.01,2216.82,6851.47,350,50,216.67,33.33,1400.06,2000.13
12.29,100,8577.15,11437.17,175,16.67,162.5,137.5,340,12.5,0,33.33,300,10,240,2216.82,680.01,2883.59,9602.88,550.01,50,166.67,0,1450.07,1933.46
13.825,33.33,9302.54,12738.09,112.5,83.33,75,175,340,12.5,0,16.67,600.01,30,220,1716.76,420.01,2316.83,8135.4,533.34,33.33,133.33,50,1033.37,1550.08
15.36,100,9927.89,12771.45,287.5,50,75,212.5,240,0,0,0,380,10,160,1933.45,280,2750.24,8352.18,433.34,16.67,66.67,16.67,1183.38,1583.42
16.896,16.67,11679,13071.67,100,83.33,175,162.5,520.01,0,0,16.67,380,20,200,1933.45,340,2400.18,8385.53,583.34,83.33,116.67,16.67,1650.09,2016.8
