D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-63.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 00:21:00 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,525.01,0,0,33.33,100,0,0,0,0,0,3320.34,60,620.01,2450.19,840.02,2983.61,8785.75,650.01,83.33,100,33.33,1116.71,1733.43
3.08,100,7876.82,11937.51,37.5,33.33,112.5,125,240,0,0,0,320,30,100,1416.73,40,2866.92,6934.84,283.34,33.33,183.33,0,1183.38,1450.07
4.615,16.67,8602.17,11870.8,12.5,50,125,1162.54,400,0,0,0,460.01,20,240,1700.09,120,2633.55,7835.25,516.68,66.67,116.67,16.67,1050.04,1350.06
6.15,83.33,7926.84,9936.23,112.5,50,62.5,150,100,0,0,0,200,40,240,1600.08,320,2633.55,8235.45,650.01,0,133.33,16.67,1316.72,1783.44
7.685,0,8852.29,11337.1,62.5,0,162.5,187.5,260,0,0,0,340,40,160,1683.42,240,2650.22,7601.81,300,66.67,183.33,16.67,1166.71,1466.74
9.22,33.33,6826.37,11570.59,87.5,0,112.5,87.5,160,12.5,0,0,860.02,420.01,6261.2,2716.89,3320.34,2900.26,8252.13,400.01,33.33,100,33.33,1116.71,1616.75
10.755,116.67,7201.52,136577.98,62.5,50,37.5,162.5,360,0,0,83.33,340,40,200,2200.15,420.01,3517.05,7885.28,600.01,16.67,116.67,33.33,1016.7,1800.11
12.29,66.67,10027.95,10903.48,150,16.67,125,137.5,160,0,0,0,280,20,440.01,1333.39,340,3333.68,8535.61,250,33.33,150,33.33,1383.4,1333.39
13.825,33.33,8352.04,11537.23,37.5,66.67,125,112.5,260,0,0,0,300,0,280,1783.43,300,2333.5,7435.06,450.01,83.33,133.33,33.33,1266.72,1466.74
15.36,50,9502.64,11637.3,37.5,33.33,62.5,62.5,280,0,0,0,280,20,340,2100.14,660.01,3317.01,9236,533.34,50,216.67,0,916.69,1716.77
16.896,133.33,8877.31,13238.47,112.5,66.67,75,187.5,300,0,0,0,460.01,50,100,1766.76,140,2883.59,8535.61,533.34,83.33,66.67,0,1133.38,1250.05
18.431,33.33,6951.42,8602.17,175,50,50,87.5,80,12.5,12.5,0,400,10,200,2000.12,440.01,2866.92,9486.15,416.67,83.33,166.67,33.33,1116.71,1516.74
19.966,66.67,9127.44,11237.04,75,33.33,100,100,280,0,0,0,320,0,260,1666.75,100,3917.15,8052.03,450.01,50,233.34,0,1033.37,1666.76
21.501,0,9052.4,12471.22,62.5,16.67,137.5,112.5,380,0,0,0,280,0,200,1650.08,420.01,3350.35,7551.78,300,100,266.67,33.33,933.36,1250.05
23.036,33.33,9452.62,10836.78,50,83.33,87.5,200,240,12.5,12.5,0,340,10,320,1866.77,120,2783.58,6201.2,333.34,50,133.33,0,1400.06,1416.73
24.571,50,8727.23,11570.59,150,50,112.5,175,200,0,0,0,760.02,10,240,1716.76,460.01,2550.2,8869.13,400.01,66.67,216.67,33.33,1450.07,1483.41
26.106,166.67,9602.7,10002.93,50,33.33,1187.54,3787.92,1260.05,12.5,0,16.67,3460.36,220,540.01,1333.39,6881.47,2283.5,7735.2,516.68,33.33,50,33.33,1200.05,1366.73
