D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-79.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 01:39:21 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,275,66.67,0,0,150,0,100,0,0,0,2900.26,10,540.01,2533.53,640.01,2050.13,5617.65,333.34,0,233.34,33.33,683.35,1100.04
3.08,33.33,5275.82,7368.26,100,16.67,5838.51,136321.41,14566.3,1412.56,612.51,2583.54,680.01,340,520.01,1700.09,460.01,2650.22,7951.98,500.01,33.33,133.33,16.67,1100.04,1283.39
4.615,33.33,7501.65,11136.97,62.5,0,100,200,40,25,0,0,340,20,200,1066.7,240,2533.53,8185.43,600.01,16.67,216.67,0,1000.03,1616.75
6.15,16.67,7826.79,11603.95,137.5,33.33,175,100,140,12.5,0,0,200,10,140,1350.06,300,2983.61,7951.98,183.33,16.67,200,0,766.69,1200.05
7.685,83.33,8252,10369.82,87.5,83.33,137.5,175,180,0,0,0,360,20,100,1816.77,400,3200.32,8135.4,783.35,50,133.33,50,1116.71,1416.73
9.22,33.33,8001.88,10336.47,87.5,16.67,112.5,125,180,12.5,0,0,240,30,200,1300.05,420.01,2233.49,6618.04,200,0,100,50,900.03,1583.42
10.755,33.33,8176.96,9902.88,100,33.33,175,275,260,0,0,66.67,220,60,140,1266.72,260,2500.2,8118.73,450.01,16.67,166.67,16.67,1250.05,1266.72
12.29,33.33,8352.04,10102.99,37.5,83.33,87.5,100,60,0,0,33.33,300,20,60,1550.07,620.01,2416.85,7485.09,466.67,0,150,50,950.03,1416.73
13.825,16.67,7726.75,10803.42,87.5,33.33,162.5,175,220,0,0,33.33,820.02,10,240,1700.09,620.01,3083.63,7818.58,300,0,200,16.67,1350.06,1516.74
15.361,50,7926.84,11437.17,75,16.67,112.5,112.5,360,25,0,0,280,0,200,1433.4,260,3150.31,7935.3,283.34,116.67,183.33,50,750.02,1650.09
16.896,83.33,8101.92,10369.82,37.5,16.67,125,187.5,80,25,0,0,380,0,240,1400.06,100,2450.19,7751.88,550.01,50,150,0,1200.05,1483.41
18.431,16.67,7326.57,10036.29,100,16.67,162.5,125,140,0,0,0,260,20,240,1633.42,200,2116.81,7018.21,500.01,50,116.67,16.67,716.68,1150.04
19.966,33.33,5725.96,7001.44,112.5,0,87.5,175,160,12.5,0,0,480.01,20,380,1983.45,520.01,2450.19,6768.1,416.67,0,116.67,33.33,1100.04,1450.07
21.501,50,9277.52,9235.83,62.5,50,125,100,160,0,0,16.67,300,0,100,1700.09,360,2283.5,7535.11,516.68,33.33,83.33,16.67,1383.4,1450.07
23.036,50,8252,10469.88,175,0,87.5,125,180,12.5,0,16.67,240,20,340,1316.72,340,2983.61,6984.86,300,0,116.67,50,1133.38,1433.4
24.571,0,7626.7,10569.94,200,33.33,162.5,87.5,140,0,0,33.33,220,0,200,1366.72,140,3033.62,6017.8,383.34,100,283.34,33.33,766.69,1400.07
26.106,0,7376.59,9769.46,37.5,83.33,125,50,100,0,0,0,120,10,120,1300.05,260,2133.48,6601.36,483.34,33.33,183.33,16.67,1400.06,866.69
27.641,100,8226.98,9169.13,87.5,83.33,75,162.5,80,12.5,0,0,300,10,120,1316.72,180,3133.64,8018.68,400.01,66.67,133.33,0,1300.06,1250.05
