D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-38.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 22:18:37 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,275,0,0,0,112.5,12.5,0,0,0,0,3640.4,40,580.01,4717.35,1560.08,3400.36,9936.42,716.68,50,116.67,0,1066.7,1516.74
3.08,0,9927.89,15206.78,87.5,16.67,150,350,120,0,0,16.67,320,0,240,1733.43,860.02,2700.23,7668.51,450.01,100,133.33,33.33,1016.7,1250.05
4.615,66.67,7551.67,8902.32,87.5,33.33,87.5,162.5,220,25,0,0,220,20,220,1783.43,340,3417.03,7635.16,566.68,0,100,16.67,750.02,1500.08
6.15,100,9602.7,11437.17,50,33.33,125,100,300,0,0,33.33,420.01,0,540.01,1716.76,520.01,2883.59,5300.88,300,33.33,133.33,0,1366.73,1250.05
7.686,33.33,8527.13,12971.6,150,50,75,237.5,420.01,0,12.5,33.33,300,20,400,1816.77,600.01,3066.96,7385.04,316.67,16.67,150,0,850.02,1416.73
9.221,16.67,7651.72,7401.61,50,50,187.5,162.5,120,12.5,0,0,400,20,120,1383.39,220,2900.26,7918.63,516.68,83.33,166.67,33.33,816.69,1066.7
10.756,33.33,7276.55,8969.02,50,33.33,162.5,100,240,0,0,0,400,10,160,1150.04,280,3133.64,7601.81,466.67,83.33,100,0,733.35,1416.73
12.291,33.33,7626.7,10002.93,87.5,16.67,50,112.5,100,0,0,0,380,20,60,1766.76,360,3500.38,9119.27,566.68,83.33,150,83.33,1100.04,966.7
13.826,16.67,8977.36,12037.58,50,50,50,62.5,260,0,0,16.67,340,20,360,1450.06,480.01,2533.53,7718.53,333.34,33.33,66.67,33.33,783.35,1133.38
15.361,50,6676.3,8168.62,75,0,75,150,160,0,0,0,720.02,0,420.01,1700.09,740.02,2766.91,6834.79,383.34,33.33,116.67,33.33,1316.72,1333.39
