D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-18.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 20:40:39 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,550.01,33.33,0,0,25,0,20,0,0,0,3620.4,20,640.01,2050.13,1080.04,2383.51,7518.43,483.34,116.67,200,33.33,1600.08,1866.78
3.08,16.67,11829.1,15473.68,162.5,66.67,62.5,837.52,80,0,0,0,680.01,30,300,1716.76,580.01,2650.22,7868.6,633.35,66.67,150,0,1183.38,900.03
4.615,33.33,7551.67,11503.88,50,50,62.5,475.01,260,37.5,0,0,260,20,180,1416.73,300,2800.25,7101.58,483.34,16.67,233.34,16.67,1033.37,1283.39
6.15,0,11979.2,14105.83,87.5,33.33,150,100,100,0,0,0,360,10,260,1466.73,1000.03,2050.13,4300.58,350,0,116.67,33.33,1183.38,1883.45
7.685,100,10553.26,14139.19,162.5,33.33,137.5,162.5,280,0,0,0,540.01,0,540.01,2233.49,940.03,3750.44,11087.18,550.01,50,183.33,50,11854.61,6901.6
9.221,166.67,28824.32,36238.45,125,166.67,137.5,250,480.01,12.5,0,16.67,460.01,60,360,1200.04,560.01,2283.5,8485.58,450.01,0,133.33,16.67,766.69,1100.04
10.756,66.67,6851.37,8368.72,100,16.67,75,175,420.01,0,0,0,600.01,10,540.01,2883.59,900.03,3483.71,10853.68,716.68,0,133.33,16.67,916.69,1483.41
12.291,100,9552.67,11704.02,25,0,112.5,175,240,0,0,0,200,40,240,1783.43,1020.03,3066.96,9836.36,316.67,0,166.67,0,1150.04,1450.07
13.826,33.33,9777.8,12171.01,87.5,16.67,137.5,112.5,80,0,0,0,460.01,0,360,1550.07,800.02,2250.16,5967.78,350,0,266.67,0,716.68,816.69
15.361,66.67,10478.22,13138.39,175,33.33,75,187.5,260,0,0,0,340,10,380,2116.8,1160.04,3066.96,8568.96,533.34,0,116.67,16.67,1233.38,1433.4
16.896,50,8427.08,9869.52,137.5,50,75,237.5,300,0,0,0,260,0,320,2000.12,1360.06,3150.31,10186.58,516.68,83.33,216.67,50,2483.54,883.36
18.431,33.33,9302.54,13371.91,112.5,16.67,137.5,175,160,25,0,16.67,260,20,240,1500.07,600.01,2800.25,8202.1,450.01,50,50,0,966.7,1116.71
19.966,50,7326.57,8101.92,62.5,16.67,75,100,100,0,0,0,400,10,140,1200.04,640.01,3066.96,8852.45,383.34,0,166.67,100,1333.39,1916.79
21.501,66.67,10503.23,12137.65,112.5,116.67,37.5,112.5,180,12.5,0,0,240,20,320,1583.41,500.01,2983.61,8735.72,433.34,16.67,50,50,1033.37,1200.05
23.036,50,7376.59,10002.93,112.5,16.67,75,175,340,0,25,0,420.01,0,160,1200.04,400,2633.55,5867.74,333.34,33.33,133.33,0,766.69,1383.4
24.571,133.33,9452.62,10603.3,100,0,62.5,150,440.01,0,0,0,380,20,340,2233.49,780.02,2833.58,7401.71,466.67,33.33,133.33,0,816.69,900.03
26.106,16.67,7126.49,8368.72,175,16.67,137.5,75,200,0,0,16.67,460.01,0,260,1500.07,620.01,2516.86,5817.73,283.34,50,150,16.67,1083.37,1483.41
27.641,0,8402.07,10603.3,62.5,33.33,100,150,320,0,12.5,0,440.01,0,220,1816.77,460.01,2900.26,8235.45,500.01,16.67,116.67,66.67,966.7,1600.09
29.177,66.67,8377.06,11070.26,50,16.67,37.5,62.5,300,0,37.5,0,300,20,160,816.69,440.01,2133.48,5334.22,200,33.33,150,0,1200.05,1400.07
30.712,0,7601.69,9069.08,50,33.33,50,150,380,0,0,0,360,50,180,1133.37,280,2483.53,6384.61,433.34,33.33,133.33,0,983.37,850.02
32.247,16.67,7151.5,10469.88,87.5,33.33,175,100,220,25,12.5,0,340,50,280,1866.77,560.01,2616.88,8385.53,483.34,66.67,116.67,16.67,1050.04,1483.41
33.782,50,8552.14,11603.95,137.5,0,137.5,200,280,12.5,0,0,300,20,200,1250.05,340,1733.43,4900.75,166.67,0,183.33,66.67,766.69,1350.06
35.317,33.33,7701.74,12271.08,62.5,50,100,125,120,0,0,0,320,10,300,1466.73,360,2416.85,6284.57,516.68,33.33,66.67,16.67,900.03,1283.39
36.852,50,8101.92,9035.73,25,50,125,125,240,0,0,0,360,20,120,1716.76,400,3500.38,9502.82,483.34,33.33,216.67,0,883.36,1333.39
38.387,83.33,7126.49,8135.27,62.5,33.33,62.5,125,420.01,0,0,0,100,0,140,1016.7,400,2033.46,5300.88,233.34,16.67,316.67,0,866.69,966.7
39.922,33.33,9052.4,9469.29,75,66.67,125,187.5,400,0,0,33.33,400,30,340,1750.09,740.02,2633.55,7501.76,466.67,0,116.67,16.67,1133.38,1100.04
41.457,16.67,6901.39,8602.17,75,33.33,112.5,162.5,260,0,0,0,480.01,40,120,1750.09,600.01,2116.81,6267.9,416.67,33.33,66.67,16.67,966.7,1350.06
42.992,33.33,6226.14,8468.77,50,33.33,87.5,62.5,120,0,0,0,220,10,20,1066.7,380,1866.78,5234.19,616.68,33.33,250,0,1033.37,1116.71
44.527,0,9077.41,10970.19,75,16.67,112.5,100,280,0,0,16.67,280,0,240,1166.71,420.01,1633.42,5734.36,500.01,16.67,150,0,1100.04,966.7
46.062,0,9252.51,12838.16,187.5,50,137.5,75,300,12.5,0,0,360,10,140,1466.73,320,2316.83,6651.38,500.01,16.67,183.33,16.67,850.02,1100.04
47.597,0,7001.44,10469.88,37.5,50,125,187.5,160,25,0,0,260,0,100,2050.13,360,2283.5,5851.07,316.67,16.67,133.33,16.67,950.03,1183.38
49.133,66.67,8352.04,9269.18,125,33.33,150,62.5,240,0,0,0,260,30,80,1450.06,420.01,2883.59,6934.84,316.67,0,183.33,0,1133.38,1033.37
50.668,0,7626.7,8502.12,50,50,87.5,112.5,240,0,0,0,440.01,10,120,1216.71,720.02,2283.5,5217.52,366.67,16.67,200,16.67,1183.38,1250.05
52.202,0,6151.11,9702.76,100,66.67,25,100,260,0,0,0,240,40,180,1500.07,520.01,2666.89,6551.34,266.67,0,266.67,50,866.69,1250.05
53.738,0,5901.02,8935.67,25,66.67,75,112.5,180,0,0,16.67,420.01,50,200,1200.04,440.01,2566.87,9119.27,366.67,50,133.33,16.67,766.69,1333.39
55.273,50,7776.77,9302.54,62.5,133.33,100,75,260,0,0,0,140,30,120,1383.39,460.01,2733.57,6818.12,550.01,16.67,116.67,16.67,850.02,883.36
56.808,0,6301.16,9902.88,50,83.33,87.5,175,320,0,0,0,100,10,200,1616.75,500.01,2266.83,5834.4,300,33.33,150,33.33,1133.38,1350.06
58.343,0,9002.37,11136.97,75,33.33,62.5,37.5,100,0,0,0,320,0,100,1366.72,260,2300.17,6934.84,400.01,83.33,166.67,33.33,1033.37,866.69
59.878,33.33,5475.88,8535.47,75,66.67,87.5,50,300,0,0,0,400,10,160,1716.76,740.02,2550.2,6751.43,200,0,150,0,800.02,1316.72
61.413,33.33,8477.11,11237.04,62.5,66.67,175,87.5,320,12.5,0,16.67,320,20,120,1566.74,440.01,2533.53,6951.51,416.67,100,100,16.67,800.02,983.37
62.948,16.67,8677.21,10303.11,75,66.67,125,75,220,12.5,25,16.67,140,10,140,1150.04,200,2450.19,6968.18,316.67,50,150,33.33,833.36,1166.71
64.483,50,8252,8835.62,50,33.33,212.5,112.5,440.01,37.5,0,0,420.01,10,160,1616.75,560.01,2683.56,7535.11,350,50,33.33,50,1133.38,1216.72
66.018,0,6926.41,7535,100,100,87.5,112.5,160,0,0,0,180,70,260,1000.03,340,2266.83,5684.34,433.34,16.67,150,16.67,700.02,1116.71
67.553,33.33,8727.23,8135.27,37.5,50,150,100,200,0,0,0,200,30,120,1100.04,560.01,2266.83,6601.36,400.01,33.33,100,50,1733.43,1883.45
69.089,66.67,9302.54,13338.55,150,0,62.5,1137.54,400,25,25,33.33,1200.04,90,560.01,1950.12,2280.16,2466.86,7501.76,633.35,16.67,200,33.33,1783.44,1383.4
70.624,33.33,14055.79,14773.06,125,50,325,5550.91,1040.03,0,0,33.33,2980.27,160,660.01,1650.08,5620.98,2316.83,8185.43,433.34,0,316.67,50,1266.72,1166.71
72.159,50,12204.36,14005.75,112.5,83.33,387.5,6238.65,960.03,0,0,16.67,3040.28,200,460.01,1750.09,4420.6,3216.99,7201.62,666.68,66.67,166.67,33.33,1566.75,1400.07
73.694,100,12504.58,14406.08,75,16.67,212.5,5763.48,1100.04,0,25,0,2740.23,180,560.01,1983.45,3860.46,3317.01,8568.96,383.34,16.67,133.33,0,1233.38,1333.39
75.229,0,12654.69,13672.14,75,0,325,7401.62,1300.05,0,0,33.33,2320.16,250,420.01,1983.45,2800.24,2933.6,8202.1,550.01,0,216.67,50,1383.4,1600.09
76.764,50,13530.36,13672.14,75,50,387.5,6438.72,920.03,12.5,12.5,33.33,2020.12,200,580.01,2650.22,3680.42,3333.68,8002,600.01,33.33,166.67,50,1416.73,1516.74
78.299,66.67,12904.88,13171.75,37.5,0,537.51,7051.47,920.03,0,0,16.67,3120.3,360,760.02,2116.8,3520.38,2833.58,9853.04,566.68,50,250,16.67,1566.75,1166.71
79.834,33.33,12854.84,12604.66,62.5,66.67,287.5,6413.71,1240.05,0,62.5,0,2300.16,120,560.01,2233.49,2660.22,3433.7,9069.24,550.01,66.67,266.67,16.67,1716.76,1683.43
81.369,50,14356.04,13772.22,87.5,83.33,362.5,5938.54,1200.04,12.5,0,0,2660.22,190,480.01,2716.89,2280.16,3417.03,8435.56,416.67,50,283.34,33.33,1283.39,1350.06
82.904,16.67,12579.63,13071.67,137.5,0,275,6426.22,1100.04,0,12.5,0,2300.16,170,260,2150.14,3100.3,3216.99,8602.31,433.34,33.33,133.33,50,1183.38,1716.77
84.439,0,11704.01,13939.03,150,66.67,450.01,6476.24,840.02,25,37.5,33.33,2320.16,190,560.01,1983.45,3280.33,2816.91,9486.15,483.34,0,200,33.33,1516.74,1200.05
85.974,16.67,11779.06,13205.11,75,0,350,5725.97,940.03,0,75,0,2580.2,240,400,2566.87,2760.24,3200.32,8969.18,483.34,16.67,100,16.67,1650.09,1516.74
87.509,16.67,12879.86,14306,87.5,50,225,8814.79,1000.03,0,25,16.67,2020.12,190,400,1950.12,1760.1,3367.02,8852.45,683.35,33.33,50,33.33,1450.07,1516.74
