D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-51.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 23:22:14 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,16.67,450.01,133.33,0,16.67,175,0,0,0,0,0,2800.24,40,700.02,3133.64,860.02,2800.25,7134.93,216.67,33.33,200,16.67,1066.7,1133.38
3.08,35987.87,8452.09,12537.94,62.5,16.67,150,262.5,280,12.5,0,66.67,280,30,100,1550.07,280,2050.13,6934.84,433.34,0,50,16.67,783.35,1150.04
4.615,0,6901.39,9169.13,62.5,50,100,100,200,0,0,0,340,0,320,1333.39,200,2466.86,6067.82,250,0,150,16.67,866.69,1316.72
6.15,50,7651.72,8835.62,75,16.67,100,87.5,240,0,0,16.67,220,30,20,1450.06,160,1950.12,6467.97,433.34,50,150,16.67,916.69,1116.71
7.686,0,6401.2,8335.37,37.5,0,150,150,240,25,0,0,320,0,160,1033.37,300,2466.86,6568.02,233.34,33.33,166.67,16.67,700.02,1100.04
9.221,50,6126.1,7801.78,37.5,50,112.5,100,200,0,0,0,240,0,160,1400.06,220,2316.83,5867.74,333.34,33.33,100,0,850.02,1316.72
10.756,66.67,6676.3,8168.62,100,100,87.5,50,320,0,0,0,520.01,20,240,1600.08,580.01,2800.25,6768.1,433.34,0,150,0,833.36,1116.71
12.291,83.33,6326.17,7735.09,112.5,66.67,250,262.5,180,12.5,12.5,0,260,0,140,1200.04,280,2066.8,5084.14,233.34,33.33,200,33.33,750.02,933.36
13.826,0,6601.28,6301.16,50,83.33,187.5,150,120,0,0,16.67,660.01,0,240,1316.72,260,2566.87,7318.34,433.34,50,266.67,16.67,633.35,1333.39
15.361,50,6751.34,6667.97,125,100,175,150,220,0,0,0,200,20,240,1350.06,200,2066.8,4834.06,350,33.33,116.67,33.33,1083.37,1183.38
16.896,33.33,5375.85,7601.69,62.5,50,137.5,112.5,140,0,0,0,360,40,80,1283.38,160,2633.55,6651.38,466.67,16.67,250,0,983.37,1050.04
18.431,33.33,5400.85,8001.88,37.5,16.67,112.5,162.5,180,0,0,16.67,140,30,120,1250.05,320,2150.14,8035.35,483.34,16.67,100,0,716.68,983.37
19.966,0,5625.93,8302.02,50,16.67,112.5,162.5,380,25,0,0,740.02,70,300,1666.75,540.01,2266.83,6884.82,350,33.33,200,16.67,1016.7,1216.72
21.501,0,5300.82,8235.32,62.5,16.67,62.5,125,200,0,0,0,360,0,140,1050.03,60,2850.25,7685.18,350,33.33,233.34,33.33,800.02,1183.38
23.036,0,7201.52,8168.62,62.5,66.67,100,125,180,0,0,33.33,420.01,30,120,1233.38,440.01,1816.77,6684.73,316.67,16.67,266.67,0,883.36,1150.04
24.571,0,7426.62,8868.97,62.5,16.67,125,125,280,0,0,0,460.01,0,140,1283.38,580.01,1783.43,4117.2,216.67,0,66.67,0,1066.7,1550.08
26.106,100,8377.06,9736.11,62.5,16.67,137.5,250,340,0,37.5,0,400,10,220,1983.45,460.01,2350.17,7084.9,350,100,133.33,0,1116.71,966.7
27.642,133.33,7951.85,10269.76,50,0,100,262.5,180,0,0,33.33,580.01,0,120,1866.77,460.01,2333.5,6818.12,350,0,266.67,50,1233.38,1133.38
29.177,116.67,7701.74,8935.67,100,16.67,100,562.51,340,0,0,0,400,0,420.01,1466.73,580.01,2233.49,6084.49,316.67,0,150,16.67,1050.04,1083.37
30.712,83.33,8802.27,8668.87,25,16.67,50,337.5,240,12.5,0,0,820.02,20,180,1133.37,260,1950.12,5751.03,300,16.67,350,33.33,833.36,1450.07
