D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-28.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 21:29:39 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,450.01,0,0,0,125,0,20,0,0,16.67,4440.6,180,620.01,1950.12,940.03,2416.85,6618.04,300,33.33,133.33,16.67,1566.75,1600.09
3.08,100,9427.6,11203.68,100,66.67,25,750.02,360,25,0,0,240,0,320,1766.76,400,2633.55,6751.43,400.01,16.67,183.33,16.67,1016.7,1433.4
4.615,33.33,6151.11,10102.99,125,0,162.5,62.5,300,0,12.5,0,500.01,20,240,2400.18,640.01,3216.99,7568.46,433.34,66.67,216.67,16.67,1350.06,1566.75
6.15,50,8051.9,11470.52,37.5,33.33,162.5,112.5,240,0,0,0,280,0,240,2150.14,400,2350.17,9185.97,500.01,16.67,233.34,16.67,1216.72,1683.43
7.685,0,8652.19,11737.37,125,66.67,100,162.5,460.01,0,0,0,460.01,70,360,1350.06,560.01,3083.63,6084.49,300,16.67,100,66.67,866.69,1083.37
9.22,66.67,11378.79,12804.8,50,16.67,100,175,200,0,0,16.67,240,20,200,1783.43,560.01,2183.48,6501.32,200,16.67,150,16.67,1383.4,1600.09
10.755,16.67,8902.32,9902.88,87.5,0,137.5,125,100,0,0,0,400,20,360,1600.08,520.01,2350.17,6984.86,383.34,33.33,116.67,0,1216.72,1383.4
12.29,50,8026.89,9135.78,75,66.67,50,100,320,0,0,0,320,30,280,2483.52,460.01,3433.7,10670.23,416.67,100,183.33,50,1150.04,1316.72
13.825,66.67,8151.95,11103.61,12.5,33.33,75,187.5,220,12.5,0,0,220,10,180,2016.79,480.01,3650.42,8552.29,433.34,0,300,0,700.02,1100.04
15.36,66.67,10228.06,12004.22,25,66.67,50,212.5,240,0,0,33.33,480.01,0,340,1816.77,520.01,2933.6,8218.78,416.67,33.33,150,0,1016.7,1216.72
16.895,66.67,7976.86,10236.41,62.5,66.67,137.5,112.5,280,0,0,0,280,10,240,1900.11,320,3233.66,8385.53,483.34,0,100,16.67,1250.05,1583.42
18.431,66.67,10578.28,13171.75,62.5,50,87.5,125,140,0,0,0,200,20,160,1950.12,240,2583.54,9369.41,450.01,33.33,166.67,0,916.69,1083.37
19.966,66.67,8477.11,10970.19,137.5,66.67,137.5,150,260,0,0,0,640.01,20,200,2233.49,580.01,2950.27,8952.51,700.02,83.33,116.67,16.67,1150.04,1350.06
21.501,0,8702.22,10703.36,62.5,66.67,50,62.5,340,0,0,16.67,540.01,0,260,1300.05,400,3016.95,7101.58,433.34,50,50,50,983.37,1266.72
23.036,83.33,9502.64,14639.61,100,0,125,112.5,140,0,25,0,240,50,160,1666.75,480.01,3383.69,8602.31,433.34,33.33,233.34,16.67,750.02,1133.38
24.571,66.67,8201.97,10303.11,37.5,16.67,125,225,240,0,0,33.33,500.01,10,180,1400.06,360,2083.47,7535.11,333.34,83.33,150,0,883.36,1166.71
26.106,50,6776.35,10069.64,62.5,0,87.5,100,160,0,12.5,0,400,20,240,1766.76,300,2533.53,7134.93,616.68,66.67,100,0,900.03,1016.7
27.641,16.67,6651.3,10603.3,75,0,75,75,240,0,25,16.67,360,0,120,1116.71,800.02,2666.89,6568.02,350,0,200,0,600.01,1000.03
29.176,16.67,9027.39,10303.11,87.5,33.33,75,100,580.01,0,0,16.67,560.01,20,280,1533.41,580.01,3483.71,8902.48,400.01,50,216.67,33.33,1216.72,1166.71
30.711,0,10340.62,13071.67,75,33.33,50,175,480.01,0,0,0,660.01,20,340,2066.8,580.01,3300.34,8202.1,383.34,16.67,200,16.67,1150.04,1650.09
32.246,50,10703.35,11704.02,87.5,0,150,212.5,200,0,0,0,540.01,30,260,1616.75,620.01,2900.26,6784.77,616.68,16.67,66.67,33.33,1083.37,1650.09
33.781,0,8627.18,13371.91,87.5,33.33,225,162.5,460.01,0,12.5,16.67,520.01,0,220,2266.83,780.02,3450.37,9319.38,533.34,0,133.33,16.67,1100.04,1200.05
35.316,50,11478.86,11603.95,87.5,116.67,50,225,300,0,0,33.33,420.01,60,180,1783.43,440.01,2916.93,8335.51,466.67,33.33,133.33,0,1183.38,1266.72
36.851,16.67,8902.32,9369.24,75,66.67,150,150,280,0,0,0,280,0,340,1366.72,540.01,2233.49,7651.83,300,50,166.67,0,1383.4,1450.07
38.387,0,10853.45,14039.11,87.5,33.33,112.5,225,560.01,0,0,33.33,680.01,10,200,1683.42,800.02,3033.62,6884.82,183.33,66.67,116.67,33.33,950.03,966.7
39.922,33.33,10077.97,11370.46,75,133.33,75,62.5,400,12.5,0,0,340,10,300,1283.38,320,3016.95,6284.57,450.01,0,200,50,1233.38,1300.06
41.457,33.33,7701.74,11704.02,62.5,0,87.5,200,240,0,0,0,420.01,0,120,2150.14,200,3066.96,8502.26,216.67,50,133.33,33.33,750.02,1450.07
42.992,16.67,9327.55,10536.59,75,66.67,137.5,87.5,240,0,25,16.67,980.03,0,500.01,1833.44,280,3650.42,9853.04,583.34,33.33,200,33.33,1966.79,1966.8
44.527,100,11428.82,16507.98,125,66.67,150,262.5,520.01,12.5,12.5,16.67,900.02,30,380,1866.77,860.02,2516.86,6568.02,416.67,0,33.33,0,716.68,950.03
46.062,16.67,9552.67,15106.69,62.5,16.67,62.5,175,200,0,12.5,33.33,360,20,140,1600.08,380,2666.89,7468.41,350,66.67,133.33,0,683.35,1016.7
47.597,50,8101.92,12304.44,125,50,87.5,62.5,420.01,0,0,0,500.01,60,160,1483.4,320,2633.55,8168.75,616.68,16.67,166.67,66.67,1533.41,1516.74
49.132,16.67,6626.29,9536,112.5,16.67,150,100,240,0,0,16.67,500.01,30,160,1600.08,140,3650.42,9185.97,300,116.67,133.33,0,983.37,1333.39
50.666,33.33,8101.92,11470.52,112.5,33.33,75,200,260,0,0,16.67,280,0,120,1433.4,220,2483.53,8135.4,533.34,66.67,183.33,0,1033.37,1433.4
52.202,16.67,8627.18,10336.47,37.5,33.33,87.5,162.5,260,12.5,0,0,340,0,140,1650.08,240,2400.18,8819.1,583.34,83.33,350,0,833.36,1350.06
53.737,50,6526.25,9402.59,100,133.33,137.5,225,280,0,0,0,640.01,40,80,1933.45,140,2983.61,7051.55,450.01,50,200,33.33,1200.05,1816.78
55.272,0,8502.12,11103.61,50,50,87.5,200,320,0,0,0,600.01,30,260,1550.07,560.01,2950.27,7168.27,566.68,33.33,116.67,0,1083.37,1283.39
56.807,0,8076.91,10036.29,87.5,16.67,175,350,460.01,37.5,0,0,880.02,0,340,1450.06,480.01,2316.83,5751.03,450.01,33.33,83.33,33.33,1050.04,1400.07
58.343,0,9027.39,11737.37,87.5,16.67,62.5,425.01,300,0,0,0,500.01,0,360,1666.75,400,2916.93,8502.26,366.67,16.67,116.67,100,1366.73,1583.42
59.878,0,10228.06,14172.55,50,33.33,150,312.5,280,0,0,0,360,10,200,1050.03,360,2383.51,7985.33,233.34,33.33,350,16.67,1150.04,1083.37
61.413,16.67,7001.44,11470.52,50,116.67,50,300,200,0,0,0,320,0,100,1550.07,340,2316.83,6017.8,466.67,33.33,66.67,0,1450.07,1466.74
62.948,33.33,6676.3,8402.07,62.5,50,37.5,862.52,240,12.5,0,33.33,760.02,60,420.01,1933.45,540.01,2116.81,5651,433.34,83.33,83.33,0,1250.05,1600.09
64.483,66.67,8977.36,9836.17,75,66.67,137.5,525.01,240,0,0,0,1280.05,0,300,1916.78,620.01,3200.32,8402.21,433.34,50,116.67,33.33,1016.7,850.02
66.018,0,7476.64,8235.32,75,50,212.5,575.01,340,12.5,0,0,580.01,20,260,1716.76,520.01,2050.13,7518.43,450.01,16.67,133.33,16.67,1383.4,1233.38
67.553,16.67,7176.51,8468.77,37.5,33.33,50,275,140,0,0,16.67,320,0,220,866.69,280,2600.21,5550.96,500.01,50,150,16.67,900.03,1000.03
69.088,0,6401.2,9435.94,87.5,33.33,87.5,187.5,360,0,0,0,700.01,10,180,1983.45,620.01,2583.54,7668.51,683.35,33.33,166.67,16.67,1700.1,1750.1
70.623,150,10953.51,13505.34,50,33.33,387.5,5725.97,1500.07,0,12.5,0,4260.55,170,580.01,2066.8,3240.32,3166.98,8418.88,433.34,50,200,16.67,1283.39,1616.75
72.158,66.67,11253.71,14172.55,100,50,275,9039.91,1360.05,12.5,0,0,3720.42,460.01,580.01,1816.77,3080.29,2550.2,8335.51,483.34,16.67,266.67,16.67,1283.39,1283.39
73.693,33.33,12254.4,13705.5,37.5,100,275,5163.29,800.02,0,25,33.33,3140.3,190,540.01,2500.19,3040.29,3333.68,8802.42,600.01,33.33,166.67,16.67,1200.05,933.36
75.228,16.67,11328.76,14205.91,75,16.67,237.5,5438.37,580.01,0,0,0,2520.19,90,420.01,1733.43,3320.34,3116.97,7234.97,583.34,83.33,250,50,1533.41,1100.04
76.763,33.33,11453.84,11303.74,100,100,400,6301.17,900.02,25,75,0,2860.25,240,560.01,1750.09,1800.1,3400.36,10169.9,583.34,83.33,283.34,66.67,1333.39,1300.06
78.299,16.67,11103.61,15790.62,62.5,16.67,350,5625.93,860.02,25,25,0,2440.18,90,580.01,1550.07,1500.07,2916.93,7868.6,616.68,16.67,133.33,0,1500.07,1133.38
79.834,33.33,11679,11303.74,50,83.33,350,6301.17,860.02,0,12.5,16.67,2460.18,320,820.02,2050.13,2520.2,3833.79,9469.47,516.68,50,183.33,33.33,1233.38,1150.04
81.369,66.67,11829.1,12571.3,100,33.33,275,6151.12,1000.03,0,0,0,1440.06,140,360,1633.42,2020.13,3033.62,8902.48,483.34,33.33,200,0,1300.06,1766.77
82.904,50,9302.54,11470.52,37.5,0,325,4988.23,1040.03,12.5,0,16.67,1880.11,180,300,2100.14,2200.15,2800.25,6968.18,450.01,33.33,266.67,0,1350.06,1616.75
84.439,16.67,11653.98,14039.11,125,116.67,337.5,5275.82,800.02,0,12.5,0,2040.13,120,480.01,2033.46,2700.23,3283.67,7785.23,283.34,66.67,400.01,33.33,1533.41,1733.43
85.974,33.33,10253.08,13305.19,100,50,350,4900.71,840.02,0,0,0,1920.11,100,520.01,1483.4,1560.08,3267,7968.65,533.34,83.33,166.67,16.67,1416.73,1083.37
87.509,16.67,11428.82,11437.17,100,83.33,350,5750.98,900.02,0,37.5,0,2680.22,220,520.01,2066.8,2380.18,2983.61,7368.36,350,16.67,216.67,0,1250.05,1316.72
89.044,33.33,10928.5,13438.62,100,50,400,6776.36,760.02,0,25,0,1640.08,240,540.01,2283.49,1880.11,4033.84,8869.13,550.01,16.67,366.67,66.67,2016.8,1450.07
90.579,50,11478.86,14205.91,100,66.67,300,6063.59,580.01,0,62.5,0,2020.12,130,400,2083.47,1340.06,3166.98,10119.87,466.67,66.67,233.34,0,1783.44,1300.06
