D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-22.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 21:00:16 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,350,0,0,16.67,37.5,0,40,0,0,0,4220.54,0,1040.03,3350.35,1780.1,3000.28,7901.95,383.34,16.67,166.67,50,650.01,1283.39
3.08,66.67,7276.55,9836.17,200,116.67,87.5,87.5,120,0,12.5,0,280,10,240,1233.38,100,2150.14,6251.22,516.68,0,150,50,783.35,1483.41
4.615,50,10253.08,9502.65,75,16.67,100,112.5,300,12.5,0,0,260,0,260,1616.75,320,3033.62,10353.35,616.68,33.33,133.33,16.67,1033.37,1266.72
6.15,50,6176.12,7868.48,125,100,162.5,337.5,420.01,0,12.5,16.67,740.02,0,360,1433.4,780.02,2450.19,5100.81,216.67,0,166.67,16.67,983.37,1833.45
7.685,33.33,9552.67,11203.68,50,116.67,175,225,240,0,0,0,280,20,200,1433.4,440.01,2316.83,7918.63,450.01,16.67,183.33,0,800.02,1033.37
9.221,0,6451.22,9969.58,87.5,0,150,162.5,380,0,12.5,16.67,900.02,0,440.01,966.7,460.01,2266.83,5550.96,433.34,33.33,100,16.67,1366.73,1283.39
10.756,33.33,9002.37,9602.7,137.5,133.33,75,162.5,360,0,0,0,380,60,60,1933.45,340,2883.59,7601.81,483.34,0,200,16.67,1000.03,1416.73
12.291,83.33,7301.56,9469.29,112.5,0,87.5,87.5,420.01,12.5,0,33.33,820.02,10,200,1250.05,1000.03,2533.53,7418.39,433.34,83.33,183.33,0,1233.38,1183.38
13.826,166.67,7226.53,10803.42,100,0,50,200,280,0,0,0,520.01,30,200,1166.71,320,2016.79,5867.74,350,66.67,250,83.33,883.36,833.36
15.361,100,5951.04,8868.97,175,50,112.5,112.5,180,0,0,0,180,10,220,1416.73,480.01,2616.88,6484.65,283.34,50,200,66.67,766.69,950.03
16.896,50,7826.79,8168.62,100,50,100,75,300,25,0,0,760.02,10,460.01,1900.11,320,2433.52,7951.98,600.01,33.33,166.67,0,1083.37,1000.03
18.431,50,9552.67,11470.52,87.5,33.33,62.5,212.5,280,0,0,16.67,420.01,10,280,1666.75,500.01,2800.25,6034.47,433.34,50,133.33,0,783.35,1650.09
19.966,50,7201.52,10403.17,25,16.67,150,137.5,400,12.5,0,0,560.01,0,240,1816.77,1080.04,3050.29,9102.59,433.34,33.33,100,0,950.03,1266.72
