D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-55.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 23:41:50 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,16.67,700.01,0,0,0,112.5,0,40,0,0,0,2760.23,50,840.02,2583.54,1120.04,1733.43,6001.13,400.01,33.33,116.67,0,666.68,1150.04
3.08,50,6151.11,8435.42,75,0,125,412.51,460.01,0,25,0,360,10,120,1200.04,180,1933.45,5484.27,316.67,0,166.67,33.33,900.03,933.36
4.615,66.67,7176.51,10503.23,50,0,137.5,62.5,180,0,0,0,180,0,100,1183.38,160,2100.14,6634.71,216.67,116.67,200,16.67,666.68,866.69
6.15,16.67,7151.5,7234.87,50,0,87.5,12.5,180,0,0,0,220,30,140,1083.37,280,1800.1,4333.92,316.67,16.67,83.33,33.33,850.02,1066.7
7.685,83.33,6076.08,8001.88,50,33.33,162.5,50,340,0,0,0,400,0,220,1083.37,200,2366.84,5667.67,383.34,0,150,16.67,716.68,600.01
9.22,50,5275.82,6301.16,75,16.67,125,75,200,12.5,0,0,400,60,180,1583.41,400,2000.13,5267.53,233.34,33.33,266.67,0,416.67,916.69
10.755,50,6051.07,8302.02,50,50,112.5,200,320,0,0,0,280,10,200,1083.37,220,1783.43,5417.59,283.34,33.33,50,0,733.35,1000.03
12.291,16.67,5750.97,7201.52,50,50,87.5,175,240,0,0,0,380,0,100,1350.06,360,2316.83,5767.71,300,16.67,133.33,16.67,1000.03,916.69
13.826,116.67,6651.3,8768.92,87.5,0,37.5,75,300,0,0,50,200,0,260,1483.4,240,1800.1,3967.16,250,0,200,66.67,783.35,850.02
15.361,33.33,6326.17,7668.39,75,83.33,62.5,137.5,100,0,25,0,180,0,120,1333.39,240,2066.8,5684.34,366.67,0,100,0,600.01,883.36
16.896,116.67,5825.99,7168.17,87.5,16.67,112.5,150,220,0,0,0,240,20,180,1266.72,160,2216.82,6384.61,300,0,166.67,0,666.68,1383.4
18.431,66.67,5500.89,9035.73,125,33.33,137.5,87.5,80,0,0,0,540.01,40,100,1333.39,260,2066.8,5200.85,166.67,16.67,83.33,50,666.68,1100.04
19.966,33.33,6276.15,9035.73,62.5,83.33,212.5,175,60,0,0,0,460.01,30,160,1333.39,260,1566.74,4433.95,350,16.67,250,0,666.68,1200.05
21.501,66.67,5450.87,6301.16,62.5,0,137.5,162.5,420.01,0,0,0,400,20,300,1450.06,260,2366.84,7284.99,433.34,16.67,200,33.33,716.68,683.35
23.036,50,5650.94,6567.93,37.5,66.67,175,225,320,0,0,0,340,20,140,1200.04,160,2000.13,5701.02,316.67,33.33,183.33,16.67,600.01,683.35
24.571,0,6476.23,7368.26,37.5,16.67,50,87.5,120,25,0,16.67,260,10,100,950.03,220,2016.79,5184.17,216.67,66.67,150,0,883.36,933.36
26.106,16.67,5951.04,7034.78,87.5,16.67,125,100,120,0,0,0,200,10,100,1233.38,100,2266.83,6001.13,266.67,133.33,133.33,0,600.01,1033.37
27.641,50,6326.17,7935.18,62.5,0,62.5,50,140,0,0,0,340,50,260,1000.03,360,1666.75,5067.47,583.34,0,183.33,0,750.02,1166.71
