D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-96.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 03:02:41 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,200,33.33,0,0,87.5,0,20,0,12.5,0,3000.27,10,480.01,2450.19,800.02,2133.48,6501.32,350,100,133.33,33.33,1000.03,1066.7
3.08,0,7051.46,8935.67,37.5,33.33,112.5,25,40,0,0,0,280,20,20,1200.04,60,1683.42,4250.56,250,16.67,233.34,16.67,650.01,850.02
4.615,0,5050.75,6134.44,75,33.33,150,150,320,0,0,0,660.01,20,240,1600.08,680.01,2000.13,6668.06,416.67,66.67,200,16.67,750.02,933.36
6.15,83.33,4475.59,7101.48,12.5,33.33,25,125,120,0,0,0,280,10,160,916.69,200,2700.23,6401.28,366.67,16.67,216.67,0,750.02,1100.04
7.685,16.67,5275.82,7034.78,37.5,0,100,112.5,220,0,0,0,520.01,60,280,2316.83,360,2050.13,6784.77,266.67,16.67,116.67,33.33,833.36,950.03
9.22,50,5175.78,7701.74,25,33.33,112.5,62.5,240,37.5,0,33.33,360,0,260,1083.37,380,1733.43,4917.42,266.67,66.67,200,0,766.69,1133.38
10.755,0,5125.77,6367.86,112.5,0,125,62.5,260,0,0,16.67,220,30,140,1033.37,220,1783.43,4967.44,250,16.67,266.67,16.67,966.7,850.02
12.29,0,4675.64,7735.09,75,66.67,75,50,180,0,0,0,220,10,80,833.35,160,2000.13,5334.22,383.34,33.33,166.67,16.67,666.68,816.69
13.825,33.33,5500.89,7501.65,87.5,116.67,100,125,200,12.5,0,33.33,120,10,80,1083.37,280,2083.47,5951.11,300,0,100,0,566.68,800.02
15.361,66.67,6126.1,7935.18,25,16.67,150,112.5,400,0,0,0,800.02,10,220,1683.42,600.01,2216.82,6784.77,200,16.67,200,33.33,833.36,1316.72
16.896,50,5725.96,7835.13,50,50,162.5,87.5,120,12.5,0,0,240,20,140,983.36,140,2183.48,5634.33,316.67,16.67,200,16.67,900.03,650.01
18.431,83.33,5300.82,6134.44,37.5,16.67,100,137.5,180,0,0,0,580.01,40,440.01,1516.74,620.01,2550.2,7335.02,516.68,100,200,33.33,1316.72,1650.09
19.966,50,10603.29,11704.02,50,16.67,87.5,175,200,0,0,16.67,320,30,180,1500.07,300,2166.81,5617.65,266.67,33.33,33.33,0,783.35,766.69
21.501,0,4325.55,6768.01,25,50,100,50,260,25,0,0,280,20,220,1016.7,200,1866.78,5784.38,466.67,50,183.33,0,650.01,716.68
23.036,16.67,5625.93,6434.55,25,33.33,187.5,137.5,180,0,12.5,50,220,0,80,1000.03,320,2050.13,5150.83,450.01,0,83.33,0,783.35,733.35
24.571,16.67,5175.78,6968.09,87.5,50,112.5,62.5,340,0,0,0,240,30,180,1733.43,200,2233.49,7284.99,483.34,33.33,166.67,16.67,1116.71,1133.38
26.106,16.67,5625.93,9202.48,37.5,50,50,37.5,160,0,0,0,280,10,60,1150.04,280,1783.43,5267.53,233.34,66.67,150,66.67,550.01,866.69
27.641,33.33,5675.94,7234.87,25,50,12.5,100,60,0,0,33.33,460.01,10,60,1850.11,340,2550.2,7268.32,416.67,33.33,116.67,33.33,766.69,850.02
29.176,66.67,5650.94,6801.36,75,33.33,62.5,125,180,25,0,0,300,0,220,1083.37,280,1750.1,4967.44,400.01,16.67,133.33,0,433.34,1066.7
30.711,0,6576.27,7001.44,50,0,62.5,137.5,160,0,0,0,240,10,80,1316.72,200,2183.48,5017.45,483.34,83.33,100,33.33,616.68,816.69
32.246,33.33,6576.27,7501.65,62.5,0,112.5,150,220,0,25,0,40,0,180,1200.04,160,2066.8,4950.77,483.34,100,116.67,16.67,583.34,783.35
33.781,133.33,5500.89,7234.87,37.5,0,112.5,150,160,12.5,0,0,260,10,140,883.36,340,2000.13,4800.72,316.67,33.33,200,83.33,750.02,1133.38
35.317,0,5675.94,9135.78,25,16.67,75,75,40,0,0,16.67,360,40,40,1133.37,160,2150.14,5384.24,416.67,16.67,116.67,16.67,833.36,783.35
36.852,16.67,6126.1,6401.2,25,0,50,112.5,200,0,0,0,180,0,180,766.68,300,2100.14,6251.22,183.33,33.33,166.67,0,1066.7,1266.72
38.387,100,5475.88,6501.24,12.5,16.67,87.5,62.5,60,25,0,0,300,0,140,1183.38,180,1566.74,5284.21,216.67,0,100,0,516.68,1066.7
39.922,50,4675.64,5834.33,25,16.67,100,125,80,0,0,16.67,240,0,180,1350.06,180,1450.07,5784.38,383.34,16.67,100,0,816.69,1400.07
41.457,16.67,6476.23,7535,87.5,0,125,62.5,400,12.5,0,0,560.01,10,360,1883.44,720.02,2750.24,8752.4,566.68,66.67,83.33,16.67,1033.37,1200.05
42.992,66.67,7351.58,8969.02,100,100,62.5,112.5,180,0,0,0,460.01,20,200,1200.04,440.01,1783.43,4800.72,433.34,0,50,0,633.35,783.35
44.527,16.67,5325.83,5434.2,62.5,16.67,125,175,260,0,0,16.67,200,10,120,1083.37,300,1266.72,4767.38,166.67,0,250,16.67,900.03,1283.39
46.062,33.33,5475.88,7768.44,50,0,275,700.01,280,0,0,0,640.01,20,120,1150.04,240,1900.11,5400.91,250,0,150,0,316.67,733.35
47.597,50,5750.97,7134.83,50,16.67,87.5,225,220,12.5,0,0,280,0,220,933.36,180,2100.14,5234.19,300,16.67,133.33,16.67,700.02,1083.37
49.132,83.33,7151.5,7401.61,37.5,50,87.5,225,80,0,0,0,480.01,30,420.01,1333.39,700.02,1883.44,6417.96,300,0,83.33,0,833.36,716.68
50.666,50,4750.66,6501.24,37.5,33.33,475.01,1575.07,200,0,0,0,600.01,50,260,1183.38,580.01,2200.15,4634,333.34,0,150,16.67,1433.4,1116.71
52.202,50,7076.47,8768.92,62.5,66.67,262.5,1225.04,340,12.5,0,0,560.01,30,120,966.7,260,1700.09,4834.06,500.01,0,66.67,0,600.01,733.35
53.737,33.33,4200.52,4700.65,25,33.33,150,812.52,400,0,0,0,600.01,30,180,1500.07,160,2383.51,5684.34,550.01,0,200,0,883.36,1116.71
55.273,50,6451.22,6801.36,75,0,262.5,612.51,360,0,0,33.33,480.01,0,200,1433.4,640.01,2100.14,5484.27,316.67,16.67,166.67,0,816.69,883.36
56.808,66.67,5025.74,6134.44,75,116.67,362.5,1950.11,680.01,0,0,0,1840.1,110,280,1166.71,3060.29,2266.83,5701.02,416.67,16.67,150,33.33,916.69,1200.05
58.343,16.67,8902.32,7735.09,37.5,66.67,325,2200.14,1200.04,0,25,0,1780.1,110,360,1100.04,2400.18,2466.86,5951.11,350,66.67,216.67,0,1366.73,1350.06
59.878,0,9652.73,8268.67,75,50,87.5,762.52,260,0,12.5,0,700.01,40,240,983.36,1500.07,2316.83,5734.36,216.67,16.67,166.67,0,1250.05,933.36
61.413,66.67,6951.42,5700.95,37.5,16.67,262.5,2937.75,1640.08,37.5,12.5,33.33,3000.27,110,520.01,1383.39,1520.07,1883.44,5550.96,350,0,283.34,33.33,933.36,1500.08
62.948,116.67,7051.46,6834.7,62.5,0,362.5,3375.34,1440.06,0,37.5,33.33,1820.1,120,200,1333.39,1680.09,2400.18,5901.09,433.34,33.33,333.34,33.33,866.69,883.36
64.483,66.67,6726.33,7001.44,87.5,33.33,137.5,3450.35,720.02,0,25,0,2320.16,110,340,1333.39,1040.03,2266.83,5267.53,333.34,16.67,150,0,1283.39,1416.73
66.018,66.67,13054.99,7168.17,37.5,50,225,4913.21,780.02,25,12.5,0,1280.05,30,260,1216.71,1300.05,1900.11,5784.38,266.67,16.67,183.33,0,1250.05,1133.38
67.553,33.33,6601.28,7168.17,37.5,33.33,250,4438.08,720.02,0,0,0,1900.11,80,320,1116.71,1520.07,2016.79,5000.78,316.67,83.33,100,16.67,1066.7,1083.37
69.088,83.33,8602.17,8468.77,62.5,100,125,4338.06,680.01,0,0,0,1480.07,110,260,1583.41,1080.04,2166.81,5901.09,500.01,0,100,16.67,1000.03,1416.73
70.623,100,5926.03,7668.39,100,16.67,175,3612.89,1020.03,12.5,25,0,1360.06,40,400,1116.71,1640.08,1750.1,4700.69,333.34,33.33,150,0,983.37,950.03
72.158,66.67,7001.44,8802.27,87.5,16.67,212.5,3600.38,900.02,0,0,16.67,1000.03,170,420.01,1200.04,1220.05,2400.18,7184.95,433.34,0,150,33.33,1100.04,883.36
73.693,83.33,7901.83,8668.87,50,0,162.5,4788.18,1020.03,0,12.5,0,1280.05,120,420.01,1833.44,1040.03,1883.44,5751.03,400.01,66.67,233.34,16.67,1116.71,1066.7
75.229,100,7901.83,9736.11,125,33.33,262.5,4475.59,1120.04,0,0,0,1260.05,150,300,1283.38,960.03,1766.76,5651,333.34,33.33,200,33.33,816.69,1100.04
76.764,33.33,7326.57,9135.78,87.5,66.67,187.5,4538.11,880.02,0,0,0,1420.06,200,420.01,1800.1,1100.04,1966.79,6317.91,316.67,83.33,150,33.33,750.02,1100.04
