D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-122.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 05:10:03 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,425.01,0,0,0,187.5,0,40,0,0,0,4660.66,20,920.03,4183.87,900.03,1833.44,5951.11,350,0,233.34,33.33,733.35,1216.72
3.08,16.67,7201.52,8502.12,125,0,62.5,175,240,25,0,0,680.01,0,240,1500.07,340,1250.05,5050.8,216.67,83.33,216.67,33.33,1266.72,1300.06
4.615,0,6651.3,8135.27,125,50,50,112.5,300,0,0,0,300,10,220,1266.72,240,1800.1,4467.29,433.34,16.67,100,0,650.01,1350.06
6.15,33.33,5675.94,9402.59,37.5,33.33,100,62.5,200,0,0,0,540.01,0,120,1133.37,560.01,1466.73,5701.02,266.67,0,233.34,16.67,916.69,1416.73
7.685,100,7826.79,7334.91,12.5,50,125,137.5,320,0,0,0,360,20,160,1100.04,520.01,2266.83,5684.34,216.67,33.33,166.67,0,833.36,533.34
9.22,16.67,4525.6,6067.75,125,50,75,62.5,180,0,0,16.67,360,0,120,1033.37,400,2566.87,8235.45,383.34,66.67,283.34,33.33,1350.06,1800.11
10.755,50,7451.63,9069.08,50,33.33,162.5,75,140,0,0,0,360,20,260,1966.79,620.01,3050.29,5851.07,433.34,0,216.67,16.67,416.67,566.68
12.29,66.67,5425.86,6934.74,62.5,0,250,175,280,0,0,16.67,400,20,240,1800.1,380,1783.43,6434.63,316.67,33.33,100,33.33,616.68,900.03
13.825,66.67,4575.61,5767.64,0,0,87.5,150,240,0,0,0,360,40,160,1216.71,540.01,2266.83,7151.6,250,0,183.33,16.67,1200.05,1016.7
15.361,66.67,7476.64,8402.07,12.5,50,137.5,75,220,0,0,0,600.01,20,140,1333.39,240,2016.79,4967.44,166.67,83.33,333.34,0,783.35,1200.05
16.896,16.67,4925.71,6034.4,25,50,100,50,160,25,0,0,520.01,20,240,1216.71,640.01,1916.78,5134.16,266.67,33.33,250,33.33,650.01,1150.04
18.431,50,5575.91,9169.13,37.5,66.67,87.5,100,180,0,0,0,260,10,260,1116.71,120,1766.76,5500.95,250,33.33,50,0,700.02,833.36
19.966,50,5450.87,6434.55,37.5,33.33,100,112.5,200,0,0,0,440.01,30,120,1216.71,460.01,2383.51,4417.28,333.34,16.67,133.33,0,750.02,1133.38
21.501,83.33,5650.94,6901.4,75,0,100,137.5,340,12.5,12.5,16.67,960.03,10,220,1716.76,160,2800.25,7218.3,383.34,33.33,183.33,0,700.02,733.35
23.036,50,6876.38,10069.64,62.5,0,125,62.5,240,0,0,0,720.02,30,340,1166.71,540.01,1616.75,4400.61,266.67,16.67,266.67,50,1066.7,850.02
24.571,0,4600.62,5067.42,37.5,50,150,62.5,520.01,0,0,0,260,20,100,1083.37,140,2216.82,5617.65,333.34,66.67,83.33,33.33,916.69,733.35
26.106,33.33,4850.69,6367.86,12.5,16.67,187.5,112.5,300,0,0,16.67,480.01,40,80,1033.37,240,1366.72,3783.78,133.33,16.67,233.34,0,816.69,1650.09
27.641,116.67,7301.56,7068.13,50,0,150,125,480.01,25,0,0,140,30,240,1400.06,60,1750.1,3950.49,283.34,0,116.67,33.33,516.68,600.01
29.176,116.67,6151.11,8268.67,50,0,75,25,200,0,12.5,0,380,30,80,1150.04,380,1966.79,5784.38,350,16.67,100,50,983.37,1283.39
30.711,33.33,5750.97,7735.09,175,0,137.5,100,240,0,0,0,140,10,120,916.69,400,2216.82,7735.2,416.67,0,133.33,66.67,783.35,933.36
32.246,66.67,6151.11,9469.29,50,50,62.5,75,260,0,0,0,240,10,240,633.35,120,1450.07,4350.59,233.34,0,116.67,0,1016.7,1133.38
33.781,0,6001.05,7201.52,75,16.67,125,75,220,0,0,16.67,560.01,20,120,1650.08,420.01,2033.46,3817.12,100,0,133.33,0,600.01,1016.7
35.317,33.33,6976.43,8502.12,50,83.33,175,112.5,240,0,0,0,260,0,360,1433.4,300,2866.92,7851.93,200,33.33,150,16.67,1000.03,1400.07
36.852,33.33,8352.04,7868.48,50,0,62.5,25,100,0,0,0,520.01,20,220,1400.06,300,2150.14,6934.84,383.34,33.33,150,0,900.03,850.02
38.387,66.67,3400.34,5100.76,0,33.33,87.5,50,120,0,37.5,0,500.01,30,220,1433.4,480.01,1733.43,4417.28,300,50,100,0,500.01,1016.7
39.922,33.33,7026.45,10002.93,137.5,50,162.5,87.5,220,0,0,0,320,0,60,1233.38,220,2016.79,8252.13,516.68,33.33,183.33,33.33,800.02,1033.37
41.457,16.67,5375.85,6501.24,62.5,16.67,62.5,212.5,360,0,0,0,280,0,120,1500.07,400,2433.52,5484.27,366.67,0,200,0,733.35,1333.39
42.992,33.33,6451.22,8435.42,12.5,33.33,150,125,260,0,0,0,380,60,200,1133.37,300,2350.17,7301.67,266.67,66.67,216.67,16.67,1516.74,1733.43
44.527,33.33,6501.24,8101.92,25,33.33,75,75,100,0,0,0,300,10,80,1600.08,160,2600.21,6217.88,433.34,83.33,133.33,16.67,883.36,1050.04
46.062,33.33,8101.92,9402.59,50,33.33,187.5,225,300,25,0,0,260,0,400,1433.4,200,3133.64,6417.96,550.01,0,166.67,0,766.69,883.36
47.597,33.33,6526.25,8935.67,150,166.67,162.5,100,200,12.5,0,0,140,0,60,950.03,200,2033.46,6251.22,350,33.33,150,33.33,816.69,916.69
49.132,83.33,6426.21,8035.23,50,66.67,137.5,50,140,0,0,0,320,10,100,883.36,180,1450.07,4533.98,233.34,0,166.67,0,683.35,950.03
50.666,16.67,9502.64,10136.34,112.5,50,137.5,87.5,120,0,12.5,0,120,0,200,1633.42,120,2616.88,8335.51,300,0,183.33,16.67,733.35,850.02
52.202,16.67,5425.86,7901.83,175,33.33,62.5,150,100,12.5,0,0,280,10,300,1016.7,220,1883.44,4917.42,266.67,0,183.33,50,850.02,1083.37
53.737,16.67,6876.38,8068.58,37.5,66.67,137.5,125,120,0,0,0,140,40,100,1933.45,340,2383.51,6317.91,300,66.67,233.34,0,533.34,916.69
55.273,0,6076.08,7601.69,87.5,0,150,112.5,120,0,0,0,680.01,20,160,1550.07,380,1783.43,4583.99,133.33,50,250,16.67,783.35,900.03
56.808,0,6076.08,8168.62,125,50,87.5,112.5,300,0,0,0,340,20,200,2283.49,460.01,3350.35,8969.18,383.34,0,116.67,33.33,1100.04,866.69
58.343,33.33,6376.19,8201.97,37.5,0,150,212.5,260,0,0,0,240,20,180,1950.12,420.01,2616.88,5834.4,250,50,116.67,0,716.68,733.35
