D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-125.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 05:24:42 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,200,66.67,0,0,125,0,20,0,0,0,6081.13,20,620.01,2650.22,560.01,2616.88,7301.67,566.68,100,200,83.33,1450.07,1483.41
3.08,100,9127.44,9702.76,62.5,0,200,137.5,200,0,12.5,16.67,580.01,10,440.01,1750.09,400,2566.87,7435.06,433.34,16.67,233.34,0,1066.7,1133.38
4.616,33.33,5375.85,17408.88,100,100,175,100,540.01,25,0,0,700.01,10,280,1400.06,140,2216.82,6384.61,366.67,83.33,116.67,16.67,700.02,866.69
6.151,66.67,6826.37,10203.05,37.5,33.33,75,112.5,240,25,0,0,540.01,20,400,1766.76,520.01,1933.45,4350.59,233.34,16.67,116.67,16.67,5117.53,2016.8
7.686,100,8727.23,9636.06,62.5,16.67,137.5,87.5,60,12.5,0,0,140,30,240,1066.7,100,1200.05,4267.24,250,0,100,0,816.69,1183.38
9.221,16.67,7301.56,8969.02,0,66.67,125,112.5,100,0,37.5,0,440.01,20,160,1450.06,540.01,3383.69,8335.51,366.67,33.33,116.67,33.33,1000.03,1200.05
10.756,16.67,7701.74,10636.65,25,0,87.5,162.5,220,25,0,0,260,10,140,883.36,480.01,2150.14,4900.75,166.67,16.67,133.33,0,950.03,1016.7
12.291,50,6501.24,7535,50,50,150,62.5,100,12.5,0,0,220,0,140,1500.07,520.01,2500.2,5884.42,233.34,16.67,83.33,33.33,1016.7,1616.75
13.826,16.67,7876.82,7968.53,75,33.33,87.5,75,300,0,0,0,640.01,10,360,1616.75,420.01,2883.59,7084.9,383.34,66.67,183.33,83.33,1016.7,1766.77
15.361,50,9727.77,13105.03,50,33.33,100,100,220,50,0,0,300,0,220,1066.7,920.03,2816.91,6684.73,216.67,50,233.34,16.67,600.01,1200.05
16.896,116.67,6926.41,10636.65,87.5,0,175,62.5,80,0,12.5,0,280,20,260,900.03,200,1666.75,4967.44,150,16.67,150,0,816.69,1033.37
18.431,0,3625.38,5901.02,125,50,225,75,280,0,0,0,680.01,0,240,1183.38,360,1833.44,4850.74,416.67,16.67,183.33,66.67,533.34,1150.04
19.966,66.67,5926.03,7735.09,37.5,0,50,37.5,160,0,0,0,400,0,160,1016.7,280,2050.13,7134.93,283.34,16.67,166.67,33.33,866.69,850.02
21.501,16.67,5375.85,5667.61,87.5,33.33,50,87.5,220,0,0,0,240,10,200,1233.38,200,2116.81,6384.61,416.67,50,133.33,16.67,933.36,933.36
23.036,16.67,6201.13,6734.66,62.5,100,87.5,100,180,0,0,0,340,0,260,883.36,380,2133.48,5417.59,100,0,250,0,733.35,666.68
24.572,83.33,7851.81,12938.24,25,133.33,150,37.5,300,25,0,16.67,260,10,200,1183.38,260,1616.75,5334.22,383.34,0,100,0,1016.7,1166.71
26.107,33.33,7651.72,8335.37,50,16.67,112.5,75,240,0,0,0,340,0,360,1550.07,280,1850.11,7234.97,583.34,33.33,233.34,16.67,883.36,1133.38
27.642,16.67,7476.64,8335.37,62.5,0,112.5,50,140,0,0,0,380,0,60,983.36,160,1633.42,5050.8,300,0,150,0,1016.7,1150.04
29.177,16.67,6726.33,10102.99,87.5,16.67,162.5,50,380,0,0,0,480.01,10,240,716.68,540.01,1400.06,6384.61,550.01,0,83.33,0,766.69,500.01
30.712,33.33,5350.84,4800.68,62.5,33.33,125,125,120,0,0,16.67,300,10,140,1366.72,560.01,2683.56,5767.71,183.33,16.67,133.33,33.33,1433.4,1900.12
32.247,183.33,8627.18,11770.73,50,116.67,162.5,150,200,0,0,0,80,20,100,900.03,260,1666.75,4800.72,250,66.67,116.67,0,900.03,1300.06
33.782,50,7026.45,10236.41,112.5,33.33,112.5,237.5,260,0,0,0,180,0,60,1066.7,440.01,2183.48,7368.36,600.01,16.67,100,0,783.35,1133.38
35.317,66.67,8477.11,8902.32,100,50,87.5,100,380,0,0,0,180,20,200,1150.04,340,2100.14,5300.88,183.33,33.33,116.67,33.33,1233.38,1350.06
36.852,66.67,7301.56,10903.48,62.5,50,112.5,212.5,120,0,0,0,540.01,40,440.01,1950.12,660.01,3083.63,8819.1,366.67,0,116.67,33.33,1866.78,850.02
38.387,50,4800.68,7668.39,50,16.67,112.5,25,240,12.5,0,0,260,20,120,1433.4,280,2433.52,6751.43,633.35,16.67,133.33,0,750.02,1133.38
39.922,0,5926.03,7601.69,50,66.67,100,162.5,220,0,0,0,360,20,120,750.02,380,2100.14,5150.83,250,16.67,100,16.67,1000.03,1083.37
41.457,83.33,9752.78,13171.75,100,83.33,100,100,260,0,0,0,180,0,0,1350.06,420.01,3033.62,7401.71,500.01,33.33,116.67,0,1116.71,1033.37
42.992,16.67,6551.26,8135.27,37.5,0,62.5,337.5,120,0,0,0,620.01,20,280,1366.72,160,3050.29,8002,333.34,50,150,16.67,1050.04,1283.39
44.528,33.33,5575.91,6534.58,62.5,16.67,162.5,175,460.01,0,0,0,340,30,180,1050.03,320,2700.23,7084.9,283.34,0,116.67,0,850.02,800.02
46.063,50,6651.3,8702.22,112.5,0,37.5,75,140,0,0,0,120,10,380,1650.08,180,3383.69,7668.51,416.67,33.33,200,33.33,850.02,900.03
47.598,33.33,6276.15,8168.62,75,66.67,100,50,160,0,0,0,340,0,140,1083.37,280,2283.5,7501.76,483.34,16.67,200,0,633.35,1083.37
49.133,33.33,7076.47,8635.52,37.5,33.33,137.5,87.5,120,0,0,0,440.01,30,280,1283.38,440.01,2550.2,6134.51,450.01,16.67,150,0,1433.4,1800.11
50.668,16.67,8001.88,11637.3,112.5,0,162.5,62.5,280,25,0,0,520.01,30,200,1816.77,180,2916.93,6151.18,316.67,50,83.33,0,1316.72,1600.09
52.202,83.33,7401.6,8168.62,112.5,83.33,37.5,137.5,100,0,0,33.33,160,0,100,1566.74,360,2983.61,7701.86,416.67,0,83.33,0,616.68,500.01
53.738,33.33,4875.7,7001.44,62.5,66.67,150,337.5,400,0,0,16.67,420.01,0,300,1700.09,460.01,3300.34,9602.88,583.34,0,300,33.33,883.36,1266.72
55.273,66.67,9552.67,11837.44,75,33.33,100,37.5,180,0,0,16.67,120,0,60,883.36,180,1516.74,6551.34,383.34,16.67,200,50,883.36,616.68
56.808,50,5650.94,8902.32,62.5,33.33,75,75,300,0,0,0,400,0,100,1950.12,300,2416.85,6384.61,433.34,16.67,166.67,16.67,616.68,1333.39
58.343,16.67,11603.94,12437.87,125,83.33,137.5,287.5,540.01,0,0,0,840.02,30,280,1583.41,720.02,3216.99,8852.45,533.34,66.67,300,0,1283.39,1283.39
59.878,16.67,7226.53,11237.04,75,50,125,75,120,0,0,0,380,20,240,1266.72,240,2966.94,5517.62,300,50,216.67,16.67,583.34,783.35
61.413,16.67,9227.49,11837.44,62.5,0,200,162.5,100,0,0,0,180,20,120,1350.06,120,1133.37,4750.71,350,66.67,216.67,33.33,650.01,850.02
62.948,33.33,7126.49,8768.92,62.5,50,137.5,75,300,0,0,0,520.01,0,200,1233.38,480.01,1883.44,5334.22,333.34,50,233.34,0,1066.7,1116.71
64.484,50,5400.85,8902.32,100,50,212.5,37.5,140,0,0,0,420.01,0,100,716.68,520.01,2333.5,7735.2,383.34,0,200,0,1366.73,1050.04
66.019,16.67,5075.76,5634.26,25,33.33,100,137.5,120,0,0,0,120,10,120,1516.74,140,2566.87,7234.97,433.34,83.33,100,33.33,866.69,866.69
67.554,16.67,5175.78,6768.01,62.5,33.33,125,150,260,0,0,16.67,200,20,0,600.01,100,966.7,4650.68,400.01,16.67,250,16.67,800.02,983.37
69.089,66.67,7951.85,10536.59,62.5,33.33,112.5,50,100,0,0,0,220,0,80,850.02,160,1916.78,4717.36,283.34,16.67,133.33,0,800.02,583.34
70.624,50,4150.5,6801.36,50,0,62.5,50,120,12.5,0,0,200,0,60,800.02,220,2500.2,5017.45,183.33,0,66.67,16.67,1050.04,783.35
72.159,0,4750.66,6234.47,0,83.33,112.5,100,220,0,0,0,240,0,160,383.34,220,1116.71,3867.13,233.34,0,166.67,0,533.34,583.34
73.694,83.33,4625.63,5800.99,62.5,50,62.5,75,160,0,12.5,0,420.01,10,400,1466.73,640.01,2216.82,3967.16,333.34,0,133.33,0,833.36,1033.37
