D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-25.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 21:14:54 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,350,33.33,0,16.67,100,0,40,0,0,0,2500.19,80,1040.03,3967.15,1440.06,2933.6,10603.51,366.67,66.67,183.33,0,1316.72,1666.76
3.08,83.33,11653.98,13838.95,50,16.67,100,250,300,0,0,16.67,420.01,20,460.01,1783.43,300,3733.77,9236,600.01,16.67,183.33,16.67,1383.4,1500.08
4.615,83.33,13205.11,14706.34,125,83.33,62.5,25,140,25,0,0,220,30,260,1850.11,400,3317.01,7518.43,383.34,66.67,116.67,0,950.03,1166.71
6.15,50,10703.35,14172.55,62.5,33.33,100,75,340,0,0,16.67,300,30,200,1300.05,300,2466.86,6051.14,650.01,33.33,166.67,0,1216.72,1566.75
7.685,83.33,12529.6,15006.6,175,50,125,75,500.01,12.5,0,0,480.01,30,300,2083.47,780.02,3383.69,9369.41,483.34,0,166.67,16.67,1166.71,1266.72
9.22,200,7726.75,10269.76,125,66.67,137.5,262.5,120,12.5,0,0,440.01,10,280,1716.76,860.02,3533.72,8335.51,433.34,33.33,150,16.67,1233.38,1166.71
10.755,66.67,7726.75,11170.32,12.5,0,87.5,212.5,400,0,0,0,580.01,40,460.01,1966.79,480.01,3867.13,10820.33,650.01,0,216.67,33.33,1116.71,1650.09
12.29,83.33,8427.08,10236.41,62.5,66.67,125,125,220,0,0,16.67,420.01,0,220,2516.86,500.01,2816.91,9052.56,450.01,16.67,183.33,16.67,1183.38,1550.08
13.826,33.33,11103.61,12838.16,50,66.67,87.5,212.5,460.01,12.5,25,0,300,20,240,1333.39,400,3166.98,8118.73,483.34,0,200,66.67,1116.71,1766.77
15.361,83.33,9802.81,13205.11,87.5,16.67,87.5,212.5,240,0,0,0,400,0,360,1700.09,540.01,2966.94,8685.69,366.67,16.67,200,50,966.7,1333.39
16.896,66.67,9377.58,11603.95,50,33.33,62.5,150,180,0,0,0,300,0,160,1766.76,500.01,2483.53,8902.48,566.68,50,133.33,50,900.03,1950.13
18.431,50,9427.6,12471.22,75,16.67,87.5,112.5,260,12.5,0,0,380,10,280,1816.77,900.03,2816.91,8135.4,450.01,50,233.34,16.67,950.03,1450.07
19.966,100,7951.85,8268.67,50,116.67,37.5,250,140,0,0,0,360,0,280,1733.43,340,3083.63,7134.93,416.67,33.33,100,0,1050.04,883.36
21.501,183.33,9227.49,11270.39,112.5,50,150,100,460.01,0,25,0,400,20,260,1366.72,240,2266.83,6984.86,566.68,0,100,0,1033.37,1316.72
23.036,50,6801.36,9536,162.5,66.67,125,175,300,0,0,16.67,720.02,0,320,1816.77,1140.04,3150.31,7685.18,433.34,100,233.34,0,816.69,1216.72
24.571,50,10278.09,13505.34,75,50,87.5,150,320,12.5,0,0,300,0,200,1733.43,420.01,2300.17,7001.53,416.67,66.67,116.67,0,1033.37,1250.05
26.106,16.67,9877.86,12971.6,50,50,87.5,250,480.01,0,0,0,620.01,20,280,1416.73,380,2433.52,8735.72,650.01,50,300,33.33,800.02,1916.79
27.641,50,9452.62,11437.17,150,16.67,25,112.5,300,0,0,0,540.01,40,140,1400.06,440.01,2600.21,8152.08,416.67,50,133.33,0,1066.7,1450.07
29.176,16.67,8702.22,13939.03,187.5,83.33,125,225,520.01,0,0,0,360,20,140,1816.77,460.01,3216.99,9452.79,516.68,0,316.67,83.33,1166.71,1733.43
30.711,33.33,9627.71,12671.37,100,33.33,12.5,137.5,180,12.5,12.5,0,380,0,180,1900.11,420.01,3400.36,8185.43,566.68,33.33,100,0,450.01,1250.05
32.246,33.33,9827.83,11570.59,125,100,112.5,187.5,200,0,0,0,380,50,100,1650.08,380,3050.29,10253.29,583.34,50,116.67,33.33,983.37,1766.77
33.782,66.67,9852.84,12537.94,125,33.33,62.5,537.51,420.01,25,0,0,520.01,30,580.01,2283.49,720.02,3467.04,10470.09,583.34,100,116.67,50,1716.76,1483.41
35.317,83.33,11603.94,13138.39,112.5,33.33,112.5,112.5,480.01,0,0,0,440.01,20,300,1916.78,560.01,3450.37,9903.07,350,33.33,166.67,16.67,1133.38,1550.08
36.852,0,8702.22,10269.76,50,50,37.5,150,540.01,0,12.5,0,680.01,0,280,1566.74,420.01,3483.71,8252.13,533.34,33.33,116.67,50,1066.7,1766.77
38.387,33.33,10278.09,13805.59,112.5,100,100,162.5,320,0,0,16.67,520.01,10,240,1916.78,280,3083.63,7685.18,500.01,50,83.33,50,1066.7,1550.08
39.922,100,10253.08,13672.14,75,83.33,75,100,800.02,0,0,16.67,640.01,10,220,2550.2,360,3600.41,8869.13,333.34,16.67,83.33,0,1166.71,1733.43
41.457,100,11128.63,13305.19,275,16.67,112.5,87.5,140,0,0,0,600.01,10,460.01,1483.4,1300.05,3033.62,7618.48,450.01,33.33,150,33.33,1133.38,1383.4
42.992,66.67,9227.49,11470.52,125,83.33,150,162.5,640.01,0,0,0,300,30,140,1616.75,180,2683.56,7168.27,400.01,16.67,183.33,0,1200.05,1516.74
44.527,16.67,8777.26,12271.08,62.5,33.33,87.5,200,240,0,0,0,340,20,240,2433.52,340,2283.5,8268.81,483.34,66.67,116.67,50,1616.75,1500.08
46.062,33.33,8026.89,13004.96,62.5,16.67,37.5,175,220,0,0,0,440.01,20,220,1350.06,280,2983.61,8869.13,600.01,0,183.33,0,983.37,1583.42
47.597,100,9377.58,12571.3,100,33.33,75,162.5,520.01,0,0,0,720.02,20,200,1983.45,300,3200.32,10887.04,700.02,83.33,200,33.33,1133.38,1766.77
49.132,50,9302.54,12971.6,137.5,33.33,100,162.5,160,25,0,0,340,0,80,1966.79,160,3650.42,9302.71,500.01,16.67,166.67,16.67,1416.73,1133.38
50.666,66.67,10153.02,13105.03,125,66.67,100,200,200,0,25,0,240,40,100,1900.11,720.02,3550.39,10203.26,583.34,16.67,183.33,50,1416.73,1783.44
52.202,16.67,10228.06,13605.42,112.5,83.33,87.5,412.51,600.01,12.5,0,0,200,10,400,1666.75,360,3533.72,9069.24,383.34,83.33,83.33,16.67,1116.71,1250.05
53.738,16.67,10002.93,11170.32,75,16.67,37.5,287.5,240,0,0,0,420.01,40,120,1300.05,240,2883.59,7101.58,400.01,33.33,133.33,0,983.37,1450.07
55.273,33.33,9852.84,14105.83,150,16.67,37.5,200,380,0,0,0,220,30,360,1600.08,300,2516.86,7968.65,316.67,16.67,100,16.67,1583.42,1683.43
56.808,116.67,10278.09,13338.55,37.5,50,112.5,200,260,0,0,0,600.01,30,240,2050.13,240,3483.71,10186.58,600.01,66.67,166.67,33.33,1016.7,1100.04
58.343,66.67,11904.15,13872.31,125,50,87.5,187.5,300,0,0,0,440.01,0,180,1833.44,620.01,1900.11,4967.44,300,50,100,0,883.36,1666.76
59.878,83.33,8977.36,11237.04,87.5,33.33,75,262.5,280,0,0,0,620.01,0,160,1116.71,300,1950.12,7218.3,466.67,66.67,216.67,0,1816.78,916.69
61.413,16.67,9202.48,14572.89,125,83.33,200,387.5,460.01,0,0,16.67,500.01,20,260,1933.45,660.01,2633.55,9352.73,400.01,33.33,166.67,33.33,1033.37,1200.05
62.948,66.67,9052.4,13838.95,37.5,166.67,112.5,437.51,360,0,0,0,340,20,180,2366.84,780.02,3550.39,12304.73,316.67,33.33,133.33,16.67,1683.43,1933.46
64.483,50,11653.98,15206.78,100,100,75,150,820.02,0,0,0,1480.07,0,320,2400.18,340,3216.99,10103.19,366.67,100,233.34,0,1533.41,1716.77
66.018,33.33,9402.59,15306.87,87.5,0,112.5,350,380,0,0,0,620.01,20,80,1350.06,320,2283.5,6317.91,566.68,16.67,333.34,0,1183.38,1400.07
67.553,16.67,8277.01,9636.06,100,16.67,162.5,250,260,0,0,0,480.01,20,120,2033.46,1120.04,3417.03,10003.13,466.67,33.33,133.33,0,1316.72,1166.71
69.088,33.33,8977.36,10770.07,50,50,400,7589.2,1060.03,12.5,25,0,3500.37,130,580.01,1916.78,5380.9,2350.17,7268.32,266.67,133.33,116.67,0,1033.37,1433.4
