D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-66.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 00:35:44 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,375,0,0,0,125,0,0,0,0,0,3400.35,20,760.02,3467.04,560.01,2516.86,8085.38,450.01,16.67,100,33.33,866.69,1516.74
3.08,66.67,7876.82,10436.52,100,50,100,200,200,0,0,16.67,280,10,260,1616.75,140,3066.96,7885.28,366.67,66.67,166.67,0,983.37,1666.76
4.615,0,8126.93,9502.65,62.5,16.67,187.5,87.5,180,0,0,0,420.01,10,160,1600.08,180,2716.9,7785.23,316.67,83.33,100,0,1083.37,1766.77
6.15,16.67,8727.23,11070.26,12.5,50,150,187.5,280,0,0,0,160,10,260,1300.05,200,2800.25,7635.16,466.67,83.33,100,33.33,1233.38,1250.05
7.685,83.33,8602.17,9902.88,87.5,16.67,100,162.5,100,37.5,0,0,340,30,360,1900.11,420.01,2433.52,8302.16,350,66.67,200,33.33,1233.38,1316.72
9.22,83.33,7826.79,8668.87,37.5,50,75,325,340,0,0,33.33,520.01,30,220,1283.38,360,3417.03,8152.08,416.67,50,216.67,0,1083.37,800.02
10.756,100,7501.65,11136.97,87.5,16.67,200,162.5,220,0,0,0,500.01,0,160,1650.08,440.01,3617.08,8585.64,550.01,16.67,183.33,16.67,1116.71,1700.1
12.291,16.67,9852.84,13171.75,75,50,87.5,137.5,340,0,0,0,240,10,240,1716.76,120,3133.64,7701.86,466.67,0,166.67,0,933.36,1683.43
13.826,83.33,9002.37,11270.39,75,50,87.5,225,140,0,0,16.67,300,20,320,2416.85,300,3550.39,9119.27,433.34,100,50,0,950.03,1450.07
15.361,66.67,7701.74,8969.02,150,16.67,137.5,112.5,480.01,0,0,0,200,20,220,1733.43,20,3183.65,8268.81,400.01,16.67,150,16.67,1133.38,1250.05
16.896,33.33,8877.31,10636.65,112.5,33.33,62.5,187.5,180,0,0,0,400,0,220,2016.79,540.01,2316.83,8452.24,533.34,0,166.67,33.33,1400.06,1966.8
18.431,200,7301.56,10336.47,75,33.33,100,137.5,240,0,0,0,60,0,240,1550.07,180,3450.37,6801.45,466.67,16.67,266.67,50,1016.7,1516.74
19.966,0,8502.12,11203.68,62.5,66.67,162.5,237.5,300,0,12.5,16.67,260,0,180,1416.73,240,2533.53,6151.18,266.67,16.67,150,33.33,950.03,1133.38
21.501,100,8427.08,10403.17,25,0,125,125,320,0,0,0,360,10,420.01,1266.72,880.02,3250.33,8252.13,450.01,83.33,216.67,33.33,900.03,1383.4
23.036,16.67,7551.67,10636.65,50,66.67,75,175,80,37.5,0,0,300,0,80,1500.07,240,2650.22,6151.18,416.67,66.67,183.33,16.67,700.02,1133.38
24.571,50,7076.47,9469.29,62.5,100,125,162.5,280,37.5,0,0,840.02,50,180,1783.43,2540.2,3016.95,8368.86,566.68,66.67,83.33,0,1716.76,1533.41
26.106,133.33,8277.01,10970.19,50,50,537.51,1362.55,860.02,37.5,25,0,1940.11,60,320,1116.71,3360.35,2350.17,7084.9,483.34,50,216.67,66.67,1166.71,1266.72
27.641,33.33,8076.91,11337.1,75,16.67,200,812.52,620.01,0,0,33.33,1160.04,50,340,1416.73,1400.06,2716.9,7868.6,416.67,0,183.33,16.67,950.03,1500.08
29.176,66.67,8927.33,10036.29,162.5,50,262.5,2637.71,1200.04,0,25,0,3080.29,30,520.01,1433.4,3600.4,2666.89,6701.4,383.34,16.67,216.67,16.67,950.03,1666.76
30.712,83.33,9902.87,11770.73,50,50,275,4588.12,1520.07,0,0,16.67,2860.25,60,220,1850.11,2580.21,2416.85,8118.73,600.01,33.33,283.34,0,1666.76,1750.1
32.247,133.33,8577.15,10503.23,37.5,16.67,212.5,3200.3,1460.06,37.5,12.5,16.67,3700.42,60,520.01,1583.41,3320.34,2516.86,6818.12,500.01,33.33,200,33.33,1166.71,1266.72
33.782,66.67,10678.34,13004.96,162.5,100,187.5,787.52,300,0,0,16.67,520.01,30,140,1583.41,380,2416.85,7968.65,400.01,66.67,200,66.67,1183.38,1116.71
35.317,100,6676.3,8735.57,62.5,50,137.5,412.51,300,0,0,0,340,20,160,1216.71,320,1933.45,5067.47,383.34,33.33,133.33,0,1333.39,1566.75
36.852,50,7476.64,11737.37,37.5,33.33,162.5,950.03,300,0,25,0,1300.05,90,240,1383.39,3060.29,2316.83,5801.05,333.34,0,300,0,1400.06,1050.04
