D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-85.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 02:08:47 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,400,0,0,0,125,0,20,0,0,0,700.01,20,920.03,2266.83,1740.09,1883.44,6518,300,0,116.67,16.67,1216.72,1583.42
3.08,0,8802.27,10469.88,50,16.67,87.5,212.5,320,0,12.5,0,160,0,140,1716.76,1060.03,3233.66,9836.36,316.67,66.67,116.67,33.33,1416.73,1533.41
4.615,16.67,9777.8,13271.83,162.5,33.33,125,387.5,240,0,0,0,400,0,280,1083.37,580.01,2416.85,6868.14,316.67,0,100,50,1233.38,1483.41
6.15,50,6676.3,7701.74,75,16.67,137.5,225,340,0,0,16.67,360,10,140,1716.76,320,2566.87,7868.6,450.01,50,116.67,0,833.36,916.69
7.685,83.33,7351.58,7501.65,87.5,50,125,225,300,0,0,0,560.01,20,340,1616.75,1180.04,2883.59,8135.4,483.34,16.67,216.67,0,1200.05,1666.76
9.22,100,9502.64,13004.96,162.5,33.33,62.5,150,220,0,0,0,400,30,120,1833.44,740.02,2650.22,7234.97,316.67,100,83.33,16.67,1183.38,1333.39
10.755,116.67,7551.67,8135.27,62.5,0,100,200,200,12.5,0,0,200,50,220,1466.73,420.01,2283.5,6467.97,266.67,16.67,216.67,0,1000.03,1250.05
12.291,0,8302.02,9369.24,87.5,66.67,112.5,87.5,180,0,0,0,460.01,30,160,1533.41,320,2533.53,6034.47,333.34,33.33,233.34,0,833.36,1100.04
13.826,83.33,6851.37,10069.64,50,0,87.5,175,220,0,0,0,340,0,180,1600.08,560.01,2066.8,6701.4,450.01,50,200,0,650.01,1033.37
15.361,0,8001.88,10803.42,62.5,16.67,37.5,137.5,40,12.5,0,0,140,20,100,1433.4,240,2533.53,6701.4,566.68,33.33,133.33,0,700.02,1316.72
16.896,33.33,5876.01,8768.92,37.5,50,100,150,280,25,0,0,640.01,0,440.01,2050.13,940.03,2800.25,8969.18,433.34,33.33,150,33.33,1016.7,1533.41
18.431,16.67,9327.55,11070.26,87.5,33.33,100,250,440.01,0,12.5,16.67,720.02,20,160,1766.76,360,3166.98,6384.61,350,33.33,150,16.67,1266.72,1550.08
19.966,16.67,7251.54,10036.29,62.5,83.33,137.5,137.5,240,0,0,0,360,20,200,1283.38,160,2466.86,7835.25,416.67,33.33,166.67,50,966.7,1266.72
21.501,83.33,6501.24,8802.27,75,100,62.5,150,140,0,0,0,180,10,240,1000.03,120,2266.83,6001.13,466.67,0,133.33,33.33,800.02,933.36
23.036,33.33,6601.28,7334.91,37.5,16.67,112.5,162.5,120,12.5,0,0,160,20,60,1166.71,280,2266.83,7001.53,466.67,16.67,83.33,0,850.02,866.69
24.571,66.67,5600.92,7434.96,12.5,83.33,150,62.5,180,25,0,0,180,40,180,1350.06,640.01,2000.13,4884.08,366.67,0,183.33,33.33,1000.03,1200.05
26.106,33.33,7851.81,10169.7,0,83.33,100,75,80,12.5,0,33.33,180,20,40,1133.37,440.01,2316.83,5701.02,333.34,50,83.33,66.67,916.69,1466.74
27.641,116.67,8176.96,9769.46,62.5,0,162.5,62.5,140,25,0,0,260,20,140,6034.46,280,2616.88,7218.3,366.67,50,66.67,50,983.37,1266.72
29.176,33.33,7076.47,8935.67,62.5,66.67,100,100,320,12.5,0,0,280,20,100,1550.07,160,2583.54,6051.14,416.67,33.33,233.34,0,833.36,1150.04
