D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-24.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 21:10:01 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,425.01,100,0,0,75,0,20,0,37.5,16.67,4200.54,30,940.03,3183.65,1200.04,3016.95,9752.97,600.01,50,83.33,16.67,1200.05,1350.06
3.08,16.67,9152.45,9836.17,100,0,62.5,137.5,200,0,0,0,300,40,340,2100.14,380,3083.63,9619.56,450.01,66.67,150,33.33,1066.7,1766.77
4.615,100,11328.76,15440.32,87.5,33.33,87.5,62.5,260,12.5,0,16.67,320,20,500.01,2350.17,980.03,3183.65,8752.4,566.68,16.67,233.34,0,1483.41,1783.44
6.15,50,11603.94,17675.82,100,0,225,125,200,0,0,0,340,30,180,1500.07,340,4383.93,11153.89,200,33.33,183.33,0,966.7,1100.04
7.685,33.33,9452.62,13438.62,75,33.33,200,262.5,340,37.5,0,0,660.01,10,640.01,1983.45,780.02,3767.11,10870.36,750.02,100,150,0,1350.06,1483.41
9.221,0,7376.59,11603.95,12.5,83.33,87.5,187.5,160,0,0,0,440.01,30,340,1533.41,1000.03,2800.25,7668.51,333.34,133.33,283.34,0,1083.37,1033.37
10.756,100,6676.3,6934.74,50,16.67,162.5,162.5,380,0,0,0,540.01,0,240,1916.78,620.01,2300.17,7084.9,700.02,50,150,16.67,1616.75,1716.77
12.291,116.67,10478.22,13271.83,87.5,16.67,100,250,380,25,0,0,540.01,20,360,2116.8,800.02,3150.31,8602.31,550.01,116.67,216.67,16.67,1200.05,1533.41
13.826,16.67,8252,11070.26,37.5,66.67,50,150,300,0,0,0,460.01,20,360,2133.47,280,3883.8,9552.85,600.01,66.67,200,0,1450.07,2200.16
15.361,83.33,11704.01,14472.8,50,66.67,162.5,250,440.01,0,0,0,740.02,20,520.01,2766.9,680.01,3066.96,8102.05,333.34,0,316.67,33.33,1333.39,1716.77
16.896,33.33,9952.9,14239.28,50,83.33,100,137.5,80,12.5,0,33.33,320,0,200,1566.74,500.01,2866.92,7518.43,533.34,83.33,133.33,33.33,1083.37,1950.13
18.431,166.67,9677.74,14172.55,125,33.33,125,137.5,240,0,0,0,500.01,20,440.01,1883.44,380,3483.71,8902.48,733.35,83.33,116.67,33.33,1100.04,1433.4
19.966,83.33,8827.28,11270.39,100,0,187.5,212.5,320,0,0,0,740.02,0,400,1933.45,860.02,2516.86,8452.24,500.01,16.67,183.33,16.67,950.03,1266.72
21.501,33.33,8927.33,11637.3,112.5,16.67,37.5,300,360,0,0,0,380,70,260,2483.52,620.01,3267,11337.35,850.02,83.33,200,16.67,1516.74,2050.14
23.036,33.33,9552.67,12204.36,150,100,175,175,260,0,0,0,640.01,10,180,1950.12,540.01,3066.96,8485.58,500.01,0,116.67,16.67,866.69,1650.09
24.571,66.67,10453.2,12304.44,100,50,87.5,200,500.01,12.5,0,16.67,540.01,10,160,2300.16,480.01,2450.19,7818.58,466.67,0,133.33,0,1383.4,1700.1
26.106,0,10528.25,13838.95,150,133.33,137.5,225,180,0,0,0,260,10,180,2166.81,420.01,3283.67,8218.78,316.67,16.67,116.67,16.67,883.36,1166.71
27.641,66.67,11428.82,13305.19,75,100,150,75,100,0,0,0,380,60,60,2450.19,100,3967.16,10720.26,666.68,16.67,216.67,33.33,766.69,1233.38
29.177,66.67,8777.26,10403.17,125,33.33,75,87.5,400,12.5,0,0,400,0,60,2450.19,580.01,4033.84,9536.18,600.01,16.67,133.33,66.67,1116.71,1716.77
30.712,66.67,9677.74,12037.58,162.5,50,75,212.5,260,12.5,0,0,660.01,0,180,1900.11,420.01,2416.85,7401.71,250,33.33,200,50,1050.04,1433.4
32.247,100,6601.28,10169.7,75,66.67,112.5,150,260,0,0,0,300,20,340,1516.74,400,2966.94,8518.94,233.34,66.67,200,0,1133.38,1950.13
33.782,33.33,9977.92,12137.65,25,0,50,137.5,160,25,0,0,420.01,20,160,2116.8,300,3233.66,8235.45,600.01,50,166.67,50,983.37,1566.75
35.317,83.33,8777.26,12437.87,125,33.33,50,125,280,0,0,0,500.01,10,180,1416.73,1300.05,2900.26,9636.24,416.67,100,116.67,33.33,1400.06,1716.77
36.852,116.67,8577.15,11704.02,12.5,33.33,87.5,275,200,0,0,0,540.01,10,300,2116.8,360,3233.66,9419.44,483.34,50,200,33.33,1733.43,1266.72
38.387,50,8802.27,10269.76,50,133.33,87.5,62.5,280,37.5,0,33.33,560.01,20,360,1983.45,540.01,3783.78,9652.91,350,16.67,83.33,16.67,800.02,1666.76
39.922,16.67,8702.22,11403.81,162.5,0,75,175,400,0,0,0,620.01,30,200,1816.77,480.01,2983.61,10903.72,883.36,33.33,150,66.67,1566.75,1450.07
41.457,83.33,10953.51,15573.77,137.5,66.67,62.5,162.5,400,0,0,0,380,10,200,1516.74,320,3216.99,9586.2,450.01,33.33,150,0,966.7,1500.08
42.992,133.33,9902.87,13572.07,75,16.67,112.5,187.5,380,0,0,0,420.01,20,140,1966.79,340,2916.93,8452.24,550.01,33.33,66.67,33.33,1166.71,1333.39
44.527,16.67,11754.05,15673.87,175,66.67,50,162.5,360,12.5,0,16.67,180,0,280,1600.08,520.01,2316.83,8402.21,316.67,0,183.33,16.67,1066.7,2016.8
46.062,66.67,8902.32,12237.72,62.5,33.33,37.5,112.5,360,0,0,0,380,20,260,1716.76,260,2766.91,6834.79,450.01,50,83.33,50,1083.37,1650.09
47.597,33.33,11829.1,16774.91,87.5,33.33,87.5,87.5,160,0,0,0,360,0,180,1983.45,560.01,3450.37,9686.27,433.34,100,150,16.67,1200.05,1533.41
49.133,66.67,10903.48,14306,112.5,33.33,162.5,112.5,320,12.5,0,0,280,40,200,1650.08,220,3116.97,6868.14,233.34,16.67,116.67,0,1583.42,1466.74
50.668,116.67,9252.51,12638.02,12.5,33.33,162.5,112.5,140,12.5,0,16.67,500.01,10,320,2366.84,420.01,3483.71,10169.9,666.68,33.33,216.67,50,883.36,1366.73
52.202,16.67,7601.69,12171.01,137.5,133.33,87.5,112.5,200,0,0,16.67,360,10,220,1816.77,700.02,2733.57,6768.1,416.67,33.33,266.67,50,1116.71,1200.05
53.738,33.33,9227.49,12004.22,87.5,16.67,87.5,175,140,37.5,12.5,0,460.01,0,260,2000.12,700.02,3600.41,10169.9,516.68,66.67,133.33,16.67,833.36,1300.06
55.273,83.33,10002.93,13538.7,62.5,83.33,87.5,175,320,0,0,0,360,0,160,1300.05,160,3083.63,8635.67,483.34,16.67,233.34,16.67,850.02,1200.05
56.808,16.67,9252.51,12704.73,112.5,83.33,137.5,212.5,280,0,0,0,520.01,20,280,2550.2,320,3583.73,9786.33,316.67,0,150,0,1383.4,1616.75
58.343,33.33,9052.4,10836.78,75,16.67,125,187.5,180,0,0,0,600.01,10,300,1633.42,500.01,1800.1,4117.2,250,16.67,183.33,16.67,1033.37,1550.08
59.878,50,9602.7,9969.58,137.5,33.33,62.5,212.5,360,12.5,12.5,0,640.01,0,80,1916.78,540.01,2733.57,8835.77,466.67,33.33,200,33.33,1616.75,1933.46
61.413,50,7676.73,10870.13,50,66.67,50,362.5,200,0,0,0,360,50,120,1866.77,240,3066.96,8902.48,416.67,50,116.67,0,1116.71,1883.45
62.948,83.33,6476.23,9702.76,62.5,33.33,150,200,420.01,0,0,0,400,30,180,1783.43,280,2533.53,7034.88,250,33.33,200,16.67,800.02,683.35
64.483,0,6126.1,8668.87,75,66.67,62.5,225,340,12.5,0,0,720.02,0,260,1800.1,340,2383.51,8402.21,683.35,66.67,166.67,33.33,1650.09,1766.77
66.018,66.67,7751.76,13238.47,12.5,50,125,287.5,260,0,12.5,0,260,20,120,1666.75,260,2716.9,9169.3,366.67,33.33,166.67,0,1733.43,1566.75
67.553,0,7026.45,8135.27,112.5,33.33,62.5,350,420.01,0,25,0,1520.07,80,860.02,1616.75,4660.67,2916.93,7368.36,500.01,33.33,200,16.67,1466.74,1016.7
69.089,16.67,11929.17,14172.55,87.5,100,387.5,6913.91,1080.03,12.5,25,16.67,3180.31,250,480.01,1716.76,3880.47,3450.37,8852.45,516.68,83.33,100,16.67,950.03,933.36
70.624,33.33,12004.22,15106.69,87.5,50,337.5,7489.16,680.01,0,50,0,3020.28,150,500.01,1716.76,3160.31,2566.87,8452.24,566.68,16.67,200,33.33,1266.72,1216.72
72.159,50,12279.42,13772.22,137.5,16.67,337.5,5250.81,480.01,0,0,0,2280.16,220,400,1916.78,3280.33,3550.39,8952.51,400.01,33.33,166.67,0,1400.06,1666.76
73.694,50,11754.05,14272.64,75,16.67,162.5,6138.61,680.01,0,12.5,0,2320.16,150,380,2133.47,2940.27,3267,7618.48,433.34,50,266.67,33.33,1433.4,1833.45
75.229,50,10278.09,14005.75,50,50,275,6401.21,960.03,12.5,12.5,0,2040.13,190,380,1733.43,1920.11,2950.27,8969.18,566.68,100,200,50,1533.41,1916.79
76.764,66.67,12429.52,16975.11,50,16.67,300,5763.48,840.02,0,37.5,0,2560.2,250,740.02,2100.14,1840.1,2533.53,9019.21,616.68,83.33,266.67,116.67,1466.74,1216.72
78.299,33.33,12579.63,14439.44,137.5,116.67,300,5763.48,940.03,0,12.5,0,2040.13,110,340,2066.8,1580.08,2833.58,8919.15,316.67,0,216.67,50,1566.75,1150.04
79.834,33.33,8001.88,11870.8,75,33.33,212.5,4675.65,700.01,0,75,0,1520.07,110,220,2233.49,1920.11,3267,9019.21,216.67,66.67,166.67,33.33,1233.38,1183.38
81.369,133.33,10803.42,12738.09,112.5,50,350,4463.09,1040.03,0,0,0,1980.12,100,660.01,2033.46,2460.19,2533.53,7184.95,516.68,0,133.33,16.67,1383.4,1616.75
82.904,33.33,10278.09,14739.7,62.5,50,312.5,4825.69,920.03,0,25,16.67,2560.2,200,540.01,1933.45,1960.12,2800.25,8218.78,466.67,0,233.34,33.33,1233.38,1533.41
84.439,83.33,11979.2,14139.19,125,33.33,312.5,5888.52,920.03,0,37.5,0,2520.19,220,660.01,2533.53,2120.14,2466.86,8218.78,566.68,66.67,300,16.67,1216.72,1783.44
85.974,100,11478.86,13838.95,50,33.33,362.5,4463.09,740.02,0,0,0,1800.1,200,500.01,2216.82,1780.1,3400.36,8068.7,483.34,0,300,0,1500.07,1600.09
87.509,100,9877.86,13038.32,87.5,16.67,375,5413.36,1060.03,0,12.5,16.67,2060.13,240,400,2233.49,1580.08,2700.23,8152.08,316.67,0,150,66.67,1583.42,1350.06
89.045,150,12954.91,16774.91,62.5,83.33,312.5,5826,760.02,0,12.5,0,2320.16,190,560.01,2000.12,1560.08,2866.92,7718.53,533.34,116.67,233.34,16.67,1350.06,1233.38
90.58,33.33,10378.15,13305.19,87.5,50,300,5775.99,840.02,0,0,66.67,2140.14,200,400,1766.76,1860.11,2466.86,8618.99,433.34,50,166.67,0,1916.79,1266.72
92.115,50,12079.27,15440.32,112.5,50,337.5,6601.29,720.02,0,0,0,1640.08,180,480.01,1816.77,2100.14,3250.33,8035.35,466.67,33.33,233.34,16.67,1666.76,1500.08
93.65,133.33,14606.25,16674.82,137.5,33.33,162.5,4975.73,820.02,12.5,0,0,1600.08,170,260,1583.41,1360.06,2800.25,8435.56,533.34,66.67,200,16.67,1916.79,1533.41
95.185,133.33,13780.56,13004.96,112.5,83.33,250,5225.81,900.02,0,12.5,0,1880.11,150,640.01,2166.81,1920.11,3066.96,7918.63,300,16.67,183.33,16.67,1250.05,1850.11
96.72,83.33,11829.1,12537.94,25,16.67,275,5250.81,560.01,0,37.5,33.33,2540.2,100,440.01,1900.11,2920.26,2850.25,8352.18,550.01,50,133.33,16.67,1516.74,1516.74
98.255,66.67,12029.24,14105.83,175,33.33,250,4813.18,680.01,0,25,0,2740.23,230,460.01,2316.83,2400.18,3133.64,9953.1,583.34,0,116.67,50,1766.77,1416.73
99.79,50,11128.63,12738.09,87.5,33.33,225,7564.19,640.01,12.5,0,0,2540.2,150,600.01,2183.48,2460.19,2966.94,7001.53,466.67,16.67,166.67,33.33,1416.73,2266.84
101.325,33.33,10578.28,13605.42,75,66.67,250,5500.89,720.02,0,62.5,0,2160.14,290,440.01,2033.46,1880.11,3200.32,9452.79,366.67,66.67,250,33.33,1516.74,1750.1
102.86,83.33,11779.06,14939.87,75,50,212.5,5663.45,740.02,0,62.5,0,1820.1,140,400,1883.44,1240.05,3333.68,8318.83,550.01,66.67,83.33,0,1466.74,1266.72
104.395,66.67,12779.78,15974.14,62.5,50,312.5,5063.26,720.02,0,0,0,1860.11,200,460.01,1583.41,2360.17,2500.2,7385.04,500.01,16.67,166.67,16.67,1283.39,1266.72
105.93,33.33,10228.06,12704.73,62.5,33.33,300,7726.76,1000.03,37.5,25,0,2100.13,210,540.01,1566.74,1660.09,2750.24,7018.21,383.34,83.33,150,16.67,1566.75,1966.8
107.465,33.33,12129.31,14306,125,66.67,337.5,4850.69,720.02,0,0,0,2040.13,140,420.01,1583.41,1140.04,2816.91,8585.64,783.35,33.33,150,33.33,1866.78,1700.1
109.001,33.33,11053.58,13805.59,150,50,412.51,4663.14,760.02,0,25,0,1900.11,190,640.01,1733.43,1520.07,2650.22,6751.43,333.34,16.67,166.67,33.33,1133.38,1033.37
