D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-134.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 06:08:50 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,425.01,66.67,0,16.67,37.5,0,20,0,0,0,3720.42,90,1420.06,3750.43,1160.04,2466.86,9052.56,466.67,16.67,166.67,33.33,933.36,1500.08
3.08,116.67,12329.45,10870.13,125,66.67,100,75,260,25,0,33.33,660.01,10,240,966.7,300,2183.48,5000.78,250,0,100,0,600.01,4500.68
4.615,66.67,8026.89,9902.88,62.5,66.67,112.5,37.5,160,0,0,0,400,30,440.01,1616.75,300,2516.86,6568.02,416.67,50,100,16.67,650.01,1200.05
6.15,16.67,6801.36,10136.34,50,33.33,150,62.5,320,0,0,0,860.02,10,160,950.03,360,1450.07,6284.57,183.33,50,183.33,16.67,783.35,1000.03
7.685,133.33,5425.86,8668.87,62.5,16.67,125,150,200,12.5,0,0,360,20,260,1366.72,380,1866.78,5067.47,283.34,33.33,133.33,0,350,750.02
9.22,83.33,5325.83,6134.44,0,16.67,175,600.01,380,0,0,0,560.01,20,280,1200.04,440.01,2166.81,7418.39,400.01,16.67,166.67,33.33,533.34,983.37
10.755,0,4675.64,8268.67,87.5,16.67,87.5,75,420.01,0,12.5,0,440.01,40,280,1333.39,360,2750.24,6784.77,266.67,0,116.67,0,1200.05,1000.03
12.29,133.33,9927.89,11036.9,75,0,100,87.5,80,12.5,0,0,940.03,0,240,1083.37,840.02,2166.81,7718.53,483.34,0,116.67,16.67,1100.04,1283.39
13.825,16.67,5625.93,8068.58,62.5,33.33,150,87.5,240,0,0,0,380,10,220,1166.71,180,2216.82,3867.13,216.67,0,200,16.67,550.01,650.01
15.36,83.33,3675.4,5434.2,50,33.33,112.5,137.5,540.01,0,0,0,720.02,0,280,1800.1,600.01,1833.44,5634.33,333.34,33.33,66.67,0,850.02,1283.39
16.895,50,6251.14,7234.87,75,16.67,125,75,240,0,0,0,520.01,0,220,1366.72,320,1750.1,5701.02,350,0,266.67,0,600.01,866.69
18.431,66.67,7101.48,6334.51,37.5,33.33,300,162.5,360,0,0,0,840.02,20,260,1300.05,280,1483.4,5434.26,266.67,83.33,133.33,33.33,566.68,600.01
19.966,100,5625.93,6701.32,0,16.67,212.5,100,80,0,0,0,340,10,140,966.7,340,1316.72,3800.45,233.34,116.67,250,16.67,716.68,783.35
21.501,133.33,8327.03,8802.27,62.5,33.33,162.5,125,240,0,0,0,440.01,10,220,1466.73,280,1783.43,5334.22,183.33,66.67,233.34,0,950.03,1300.06
23.036,16.67,6301.16,8602.17,75,0,125,37.5,60,0,0,0,180,10,200,1266.72,600.01,2233.49,7718.53,266.67,33.33,66.67,0,900.03,1300.06
24.571,16.67,7201.52,8168.62,37.5,50,150,250,260,12.5,0,0,760.02,20,260,1800.1,340,1716.76,6201.2,483.34,33.33,150,16.67,966.7,1066.7
26.106,16.67,7301.56,10136.34,87.5,0,87.5,87.5,120,0,25,33.33,260,40,100,1766.76,200,3183.65,6801.45,400.01,33.33,183.33,16.67,783.35,1116.71
27.641,16.67,6451.22,5800.99,0,83.33,150,87.5,380,0,0,0,220,0,200,1266.72,220,1683.42,4950.77,250,33.33,200,0,983.37,983.37
