D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-102.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 03:32:05 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,275,0,0,0,100,0,20,0,0,0,2940.26,50,740.02,2766.9,740.02,3683.76,9803.01,750.02,33.33,233.34,16.67,1066.7,1966.8
3.08,16.67,7751.76,10603.3,112.5,83.33,212.5,250,320,0,0,16.67,720.02,0,1180.04,1633.42,820.02,3383.69,8468.91,266.67,16.67,100,50,1133.38,1533.41
4.615,33.33,9602.7,13271.83,75,16.67,187.5,50,320,0,0,0,920.03,10,320,2166.81,100,3233.66,8202.1,616.68,33.33,133.33,16.67,1583.42,1516.74
6.15,66.67,10853.45,13872.31,112.5,33.33,37.5,187.5,520.01,25,0,0,440.01,50,160,2116.8,580.01,3650.42,10019.81,566.68,50,83.33,16.67,1483.41,2083.48
7.685,33.33,9527.66,14205.91,50,66.67,125,312.5,260,0,0,0,200,0,300,1233.38,380,2433.52,7335.02,450.01,0,100,0,1266.72,2016.8
9.22,133.33,10878.47,14172.55,75,0,125,300,340,0,0,16.67,720.02,30,280,2466.85,400,3250.33,10136.55,550.01,100,166.67,0,1350.06,1666.76
10.756,66.67,8327.03,12104.29,112.5,100,87.5,300,520.01,0,0,0,460.01,10,320,1533.41,540.01,2666.89,8035.35,650.01,100,250,66.67,1916.79,1916.79
12.291,50,13680.48,11770.73,87.5,33.33,87.5,112.5,320,12.5,0,0,300,0,280,1533.41,740.02,3200.32,7718.53,550.01,0,100,16.67,983.37,1466.74
13.826,33.33,8176.96,13305.19,25,33.33,112.5,212.5,180,12.5,0,16.67,280,0,140,1816.77,480.01,3900.48,10786.97,416.67,66.67,216.67,33.33,1716.76,1600.09
15.361,0,9377.58,10236.41,62.5,50,112.5,125,200,0,0,0,580.01,30,340,1966.79,460.01,3450.37,9752.97,483.34,50,233.34,83.33,1083.37,1383.4
16.896,0,7001.44,10303.11,150,50,125,262.5,420.01,37.5,0,0,460.01,0,420.01,1466.73,440.01,3033.62,8018.68,500.01,33.33,200,83.33,1100.04,1483.41
18.431,0,7051.46,10936.84,75,33.33,100,125,220,0,12.5,0,480.01,20,80,1666.75,220,3050.29,8135.4,416.67,50,133.33,50,983.37,1650.09
19.966,83.33,11303.74,13605.42,125,83.33,112.5,212.5,520.01,0,0,0,600.01,10,500.01,1500.07,560.01,2000.13,9002.54,450.01,16.67,133.33,16.67,1550.08,1850.11
21.501,50,9302.54,11603.95,125,66.67,100,200,360,0,12.5,16.67,960.03,20,400,2383.51,400,3250.33,9519.5,500.01,50,133.33,16.67,1250.05,1783.44
23.036,0,7901.83,11403.81,100,16.67,62.5,75,80,0,0,0,740.02,10,220,2433.52,580.01,3283.67,10069.84,433.34,33.33,83.33,33.33,1416.73,1633.42
24.571,33.33,9777.8,10636.65,75,33.33,62.5,225,200,0,0,16.67,580.01,10,280,2150.14,280,3300.34,7735.2,283.34,33.33,66.67,0,1200.05,1250.05
26.106,0,5300.82,8335.37,87.5,66.67,125,100,280,0,0,0,620.01,50,460.01,2616.88,640.01,3267,10403.38,583.34,66.67,116.67,16.67,1683.43,1916.79
27.641,133.33,11028.56,14039.11,187.5,16.67,100,150,280,0,0,0,560.01,20,500.01,2366.84,580.01,3367.02,9919.74,433.34,33.33,83.33,83.33,1166.71,1500.08
29.176,50,10253.08,12904.88,75,66.67,100,125,320,0,0,0,500.01,50,260,1433.4,460.01,3417.03,9002.54,333.34,66.67,150,50,1250.05,1566.75
30.712,0,8802.27,11537.23,50,33.33,87.5,175,240,0,0,0,320,20,520.01,2216.82,280,2966.94,7918.63,400.01,50,133.33,16.67,1316.72,1766.77
32.247,66.67,9227.49,12437.87,175,0,175,100,160,0,0,0,240,40,220,2633.55,420.01,3517.05,10286.64,433.34,100,166.67,0,1633.42,1900.12
33.782,50,9027.39,11337.1,50,16.67,100,187.5,240,37.5,0,0,320,20,120,1783.43,380,3267,8518.94,416.67,33.33,233.34,33.33,1583.42,2266.84
35.317,83.33,10603.29,11070.26,125,50,125,100,100,12.5,0,0,500.01,10,340,2483.52,260,3083.63,9069.24,466.67,50,133.33,0,1400.06,1400.07
36.852,16.67,8977.36,10536.59,162.5,66.67,162.5,100,280,0,0,0,320,20,120,1950.12,160,2766.91,7918.63,400.01,83.33,133.33,83.33,1683.43,2033.47
38.387,116.67,10653.32,13772.22,75,50,87.5,350,300,0,0,0,420.01,10,280,2166.81,520.01,3567.06,8752.4,466.67,33.33,216.67,0,1450.07,1850.11
39.922,16.67,7601.69,10203.05,50,0,137.5,87.5,240,12.5,0,0,220,0,140,1916.78,220,2416.85,5884.42,500.01,0,133.33,16.67,1033.37,1450.07
41.457,50,8677.21,9469.29,37.5,50,112.5,200,440.01,12.5,0,0,460.01,10,280,1966.79,240,3533.72,8602.31,533.34,100,216.67,66.67,1216.72,1600.09
42.992,66.67,9602.7,10636.65,25,33.33,50,150,160,0,0,0,260,20,140,1700.09,260,2416.85,7585.13,516.68,50,250,0,1183.38,1883.45
44.527,0,7651.72,11136.97,75,33.33,25,150,320,0,0,0,320,0,400,2950.27,800.02,4450.62,11987.83,583.34,33.33,116.67,33.33,1883.45,2333.52
46.062,83.33,10953.51,11737.37,100,0,175,400,280,0,25,0,760.02,20,300,1600.08,480.01,2716.9,5184.17,300,16.67,183.33,16.67,1033.37,1366.73
47.597,33.33,8327.03,10536.59,75,33.33,125,125,220,0,0,16.67,160,30,240,1583.41,380,2800.25,8035.35,483.34,0,50,16.67,933.36,1500.08
49.132,66.67,8927.33,11437.17,125,0,125,125,120,0,0,0,260,10,140,1700.09,240,3250.33,8168.75,583.34,66.67,166.67,33.33,1416.73,1333.39
50.668,66.67,7876.82,12037.58,100,33.33,137.5,162.5,300,0,0,0,360,40,160,1616.75,240,2700.23,7918.63,333.34,16.67,133.33,33.33,1316.72,1416.73
52.202,66.67,8477.11,11237.04,62.5,33.33,137.5,162.5,280,0,0,0,400,10,200,1833.44,440.01,3000.28,8102.05,483.34,16.67,83.33,0,1050.04,1500.08
53.738,66.67,7076.47,10569.94,100,0,175,150,180,25,0,0,280,20,240,1383.39,240,2783.58,8502.26,516.68,33.33,83.33,16.67,1116.71,1850.11
