D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-110.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 04:11:16 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.546,16.67,500.01,0,0,0,75,0,40,0,0,0,3960.48,40,500.01,1683.42,740.02,1183.38,4033.84,183.33,0,200,0,800.02,916.69
3.081,33.33,6626.29,7968.53,37.5,16.67,37.5,112.5,240,0,0,0,420.01,0,240,933.36,280,2416.85,7385.04,566.68,0,150,0,916.69,1233.38
4.616,0,8226.98,9435.94,62.5,16.67,137.5,387.5,200,25,0,0,680.01,0,220,1833.44,460.01,2416.85,6868.14,366.67,0,100,50,1033.37,1450.07
6.151,50,7851.81,8868.97,25,116.67,187.5,125,280,25,0,0,560.01,30,300,2733.56,460.01,3950.49,9035.89,583.34,16.67,166.67,33.33,1516.74,1766.77
7.686,150,8452.09,12204.36,162.5,16.67,200,300,360,0,0,0,360,30,440.01,2566.87,480.01,3583.73,9586.21,616.68,33.33,116.67,33.33,1416.73,1866.78
9.221,33.33,9452.62,14005.75,37.5,16.67,87.5,200,520.01,0,0,0,320,10,200,2050.13,440.01,2966.94,8735.72,416.67,33.33,116.67,0,1200.05,1733.43
10.756,100,9102.43,11036.9,62.5,0,125,37.5,160,0,0,0,300,10,140,750.02,180,1666.75,7118.25,516.68,100,183.33,100,1250.05,1150.04
12.291,66.67,6351.18,8168.62,37.5,0,37.5,162.5,380,0,0,50,360,10,160,2283.49,540.01,2750.24,8302.16,333.34,16.67,166.67,16.67,1183.38,1700.1
13.826,50,10228.06,11937.51,137.5,0,137.5,87.5,220,0,0,16.67,340,20,100,1483.4,260,2883.59,6668.06,550.01,66.67,150,0,1466.74,1766.77
15.361,66.67,9877.86,13071.67,100,33.33,150,187.5,220,25,0,0,320,10,140,1433.4,240,2916.93,7585.13,583.34,50,100,16.67,983.37,1183.38
16.896,83.33,6626.29,8268.67,237.5,133.33,87.5,225,460.01,0,0,0,600.01,10,220,1750.09,420.01,2733.57,9452.79,716.68,33.33,150,83.33,1450.07,1800.11
18.431,50,8252,12204.36,75,50,125,137.5,540.01,25,0,0,500.01,20,360,2133.47,500.01,3150.31,7835.25,616.68,33.33,200,16.67,1616.75,1433.4
19.967,50,8477.11,9035.73,100,33.33,62.5,150,540.01,0,0,0,220,30,140,1266.72,280,2816.91,8302.16,533.34,50,133.33,0,1166.71,1783.44
21.502,83.33,10403.17,11637.3,87.5,150,100,112.5,380,0,0,0,580.01,10,220,2233.49,600.01,2833.58,8769.07,533.34,16.67,183.33,0,1016.7,1916.79
23.037,50,8327.03,10569.94,12.5,50,162.5,62.5,160,25,12.5,0,560.01,0,280,1933.45,280,3166.98,9269.35,516.68,50,116.67,0,1333.39,1716.77
24.572,66.67,10278.09,14739.7,37.5,16.67,175,175,260,25,0,0,320,10,120,2333.5,260,2950.27,7251.64,366.67,16.67,166.67,16.67,916.69,1450.07
26.107,83.33,8602.17,10836.78,125,83.33,175,187.5,140,0,0,0,240,20,220,1866.77,360,3267,8618.99,383.34,100,16.67,50,900.03,1883.45
27.642,16.67,7776.77,10836.78,87.5,50,187.5,50,300,37.5,0,0,420.01,30,100,2283.49,400,3116.97,10019.81,516.68,0,116.67,0,1266.72,1850.11
29.177,66.67,11078.6,13838.95,62.5,33.33,137.5,200,400,12.5,12.5,16.67,280,0,380,1650.08,400,3600.41,10003.13,733.35,66.67,83.33,50,1200.05,1566.75
30.712,50,8677.21,11603.95,125,50,162.5,175,360,0,0,0,300,0,140,1500.07,320,2750.24,8518.94,466.67,50,166.67,0,1300.06,1783.44
32.247,33.33,9702.76,13405.27,150,16.67,162.5,112.5,340,0,0,0,600.01,0,300,1416.73,560.01,3767.11,10086.51,700.02,50,100,0,1033.37,1883.45
33.782,33.33,9702.76,12504.58,137.5,50,87.5,200,400,25,0,0,480.01,50,360,1350.06,420.01,3283.67,6634.71,450.01,0,150,0,1583.42,1750.1
35.317,150,11178.66,12337.79,200,183.33,125,137.5,440.01,0,0,0,520.01,20,500.01,2166.81,620.01,3216.99,9336.06,350,50,83.33,50,1300.06,1800.11
36.852,83.33,8176.96,10636.65,125,16.67,150,125,220,12.5,0,0,180,0,200,1650.08,260,2716.9,9069.24,500.01,66.67,166.67,16.67,766.69,1216.72
38.387,16.67,6326.17,10536.59,50,0,75,112.5,220,0,0,0,360,20,260,1433.4,360,3050.29,9119.27,233.34,33.33,133.33,16.67,1000.03,1166.71
39.923,16.67,7201.52,9636.06,37.5,50,25,150,340,0,0,0,360,10,120,1566.74,380,2666.89,8785.75,316.67,16.67,66.67,16.67,1400.06,1266.72
41.458,116.67,7101.48,8201.97,37.5,33.33,100,112.5,280,0,0,16.67,340,50,180,1433.4,360,2516.86,6868.14,283.34,33.33,116.67,16.67,1133.38,1583.42
42.993,83.33,9277.52,13805.59,62.5,50,125,162.5,340,0,0,0,540.01,0,560.01,2333.5,540.01,3417.03,9185.97,666.68,116.67,66.67,16.67,1300.06,1816.78
44.528,33.33,11929.17,14239.28,125,33.33,137.5,125,600.01,0,0,0,440.01,10,420.01,1716.76,600.01,4050.51,10820.33,716.68,33.33,116.67,16.67,1533.41,1900.12
46.063,133.33,11403.81,15006.6,150,16.67,87.5,212.5,400,12.5,0,0,320,10,340,1900.11,280,3783.78,10520.13,566.68,83.33,200,16.67,1083.37,1333.39
47.598,50,6701.32,10369.82,50,0,75,75,100,0,0,0,180,20,140,1500.07,300,2750.24,7284.99,400.01,50,250,16.67,1366.73,1900.12
49.133,66.67,7651.72,10336.47,112.5,50,162.5,162.5,240,0,0,0,80,20,180,1266.72,300,2233.49,7485.09,450.01,33.33,233.34,0,1133.38,1383.4
50.668,16.67,5650.94,9335.89,50,0,87.5,87.5,140,12.5,0,16.67,160,10,120,1783.43,160,2183.48,9386.09,433.34,16.67,233.34,0,1300.06,1350.06
52.202,50,7701.74,9936.23,137.5,0,87.5,100,260,0,0,0,440.01,0,260,1633.42,300,2916.93,7435.06,500.01,33.33,66.67,50,1100.04,1400.07
53.738,116.67,6751.34,9502.65,125,16.67,125,87.5,140,0,0,0,260,10,180,1166.71,220,3033.62,8485.58,450.01,66.67,116.67,66.67,1300.06,1583.42
