D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-40.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 22:28:25 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,400,66.67,0,0,100,0,20,0,0,16.67,2240.15,80,420.01,1650.08,960.03,1533.41,6267.9,466.67,33.33,150,83.33,1100.04,1283.39
3.08,33.33,9527.66,13138.39,137.5,0,75,800.02,220,0,25,0,580.01,70,320,1283.38,300,1916.78,6484.65,400.01,66.67,183.33,16.67,1316.72,1500.08
4.615,66.67,9727.77,12337.79,75,100,62.5,125,240,0,0,0,400,30,160,1100.04,460.01,2850.25,8869.13,433.34,16.67,83.33,16.67,550.01,1200.05
6.15,16.67,5976.05,8268.67,12.5,16.67,112.5,112.5,260,0,12.5,0,660.01,10,420.01,2700.22,900.03,2733.57,8602.31,333.34,16.67,133.33,0,1100.04,1016.7
7.685,33.33,6126.1,7334.91,112.5,50,162.5,175,280,12.5,0,0,340,30,200,2033.46,460.01,2250.16,8385.53,416.67,16.67,133.33,50,1033.37,816.69
9.22,0,7851.81,9169.13,37.5,50,87.5,87.5,340,12.5,0,0,300,0,220,1316.72,260,2400.18,6584.69,383.34,50,133.33,0,950.03,1100.04
10.755,33.33,7226.53,8602.17,50,33.33,112.5,125,160,0,0,0,420.01,30,140,1266.72,280,2266.83,7768.55,416.67,100,233.34,0,1116.71,1566.75
12.29,33.33,8677.21,11603.95,75,83.33,150,175,480.01,0,0,16.67,360,30,180,1783.43,360,1733.43,6001.13,350,33.33,83.33,16.67,950.03,1400.07
13.825,0,7851.81,11870.8,87.5,33.33,150,125,60,0,0,0,420.01,10,160,1366.72,420.01,2466.86,7184.95,300,0,66.67,0,1250.05,966.7
15.36,33.33,8677.21,10569.94,125,50,62.5,212.5,300,0,0,16.67,360,10,200,1500.07,500.01,1966.79,6317.91,433.34,50,116.67,16.67,1316.72,1250.05
16.895,33.33,7976.86,10069.64,25,116.67,187.5,125,140,0,25,0,140,20,220,1700.09,220,2616.88,5684.34,516.68,0,116.67,33.33,916.69,1383.4
18.431,33.33,7576.68,10203.05,50,33.33,150,250,420.01,0,0,33.33,560.01,20,140,1666.75,440.01,2150.14,6467.97,216.67,16.67,250,50,750.02,866.69
19.966,16.67,5825.99,7568.35,75,133.33,37.5,137.5,200,0,0,0,580.01,10,240,1916.78,700.02,3317.01,9469.47,516.68,0,216.67,0,916.69,1316.72
21.501,33.33,5800.99,8635.52,62.5,0,50,337.5,440.01,0,0,16.67,580.01,10,280,1800.1,540.01,2966.94,9836.36,716.68,50,233.34,66.67,1400.06,1216.72
23.036,66.67,6576.27,9202.48,62.5,0,75,425.01,440.01,0,0,16.67,480.01,20,80,1466.73,740.02,2800.25,8602.31,466.67,0,100,0,1766.77,2466.87
24.571,16.67,9502.64,12638.02,50,66.67,87.5,425.01,320,12.5,0,0,540.01,10,220,1950.12,500.01,2066.8,6459.64,400.01,33.33,133.33,50,1750.1,1800.11
26.106,66.67,9202.48,9502.65,62.5,33.33,125,462.51,400,0,0,0,360,10,180,1933.45,300,2150.14,6734.75,400.01,16.67,83.33,66.67,1333.39,1650.09
27.641,16.67,7001.44,8302.02,87.5,33.33,50,1225.04,300,0,0,0,3040.28,140,540.01,1133.37,6261.21,3000.28,7785.23,250,83.33,350,0,1250.05,850.02
29.176,66.67,8277.01,14272.64,100,33.33,612.51,17571.61,2320.16,12.5,25,0,6981.48,350,1020.03,1883.44,7541.76,1500.07,3767.11,183.33,16.67,283.34,16.67,1316.72,766.69
30.711,83.33,8026.89,10269.76,75,183.33,475.01,10565.79,1540.07,0,25,0,4120.52,240,560.01,633.35,1820.1,1250.05,3767.11,150,0,200,33.33,1050.04,1183.38
32.246,116.67,10628.31,15273.5,75,33.33,387.5,12204.4,1700.09,0,25,0,3360.34,400,440.01,1116.71,4120.53,3267,6317.91,433.34,66.67,183.33,16.67,4634.04,833.36
33.781,33.33,9502.64,11904.15,25,0,350,10928.53,1360.05,0,37.5,0,4120.52,360,820.02,2233.49,2780.24,2650.22,5801.05,333.34,66.67,316.67,0,900.03,500.01
35.316,150,9302.54,11704.02,100,16.67,900.02,13605.46,3160.3,0,50,0,5060.78,280,680.01,1533.41,2420.18,1683.42,4467.29,216.67,50,283.34,0,1283.39,1033.37
36.851,33.33,9452.62,11737.37,62.5,50,512.51,9240.02,1860.1,0,12.5,33.33,3400.35,230,640.01,1416.73,1780.1,1833.44,4367.26,250,33.33,200,16.67,716.68,766.69
38.387,33.33,7226.53,8935.67,0,0,362.5,7289.07,1880.11,0,25,0,7701.8,230,720.02,1833.44,3880.47,2116.81,7385.04,450.01,50,283.34,16.67,1083.37,1033.37
39.922,150,10753.39,14939.87,75,33.33,662.51,14743.92,3220.31,0,62.5,16.67,7801.85,260,620.01,1266.72,2000.12,1566.74,4667.35,316.67,16.67,383.34,50,1116.71,1050.04
41.457,100,9877.86,11470.52,50,16.67,250,8877.33,2380.17,0,0,0,4440.6,130,500.01,1666.75,3380.35,2600.21,7618.48,316.67,50,216.67,16.67,1100.04,1233.38
42.992,50,10478.22,11737.37,62.5,50,337.5,6126.11,1260.05,0,0,0,2660.22,80,500.01,1266.72,2920.26,2450.19,6926.5,666.68,16.67,266.67,0,1566.75,1433.4
44.527,66.67,9027.39,11170.32,75,83.33,362.5,4800.68,940.03,0,37.5,0,3600.39,170,480.01,1650.08,3260.33,2950.27,7618.48,333.34,33.33,183.33,0,1466.74,1333.39
46.062,66.67,10428.19,12504.58,50,50,187.5,5475.89,1100.04,0,0,0,3460.36,140,680.01,1666.75,2720.23,3183.65,7801.9,350,16.67,216.67,0,1150.04,1266.72
47.597,83.33,9477.63,13538.7,87.5,133.33,450.01,4850.69,1380.06,0,50,16.67,3400.35,190,680.01,1916.78,3440.37,2900.26,6501.32,300,16.67,250,83.33,1616.75,1516.74
49.132,66.67,9727.77,13371.91,100,0,250,5951.05,1680.08,0,12.5,50,3620.4,210,720.02,1900.11,2940.27,3000.28,8135.4,416.67,50,233.34,16.67,1183.38,1800.11
50.666,150,10478.22,14239.28,12.5,33.33,350,5700.96,1420.06,0,12.5,33.33,3740.43,200,520.01,1766.76,3320.34,2500.2,6201.2,516.68,100,66.67,33.33,1183.38,1033.37
52.202,50,10978.53,12838.16,112.5,100,237.5,5338.34,1220.04,25,12.5,16.67,3500.37,140,500.01,1883.44,2400.18,2833.58,7868.6,550.01,0,200,50,1150.04,1200.05
53.737,66.67,10678.34,11437.17,100,50,237.5,4763.17,1280.05,0,12.5,33.33,3060.28,180,580.01,2200.15,3240.32,2800.25,7768.55,566.68,16.67,183.33,16.67,1500.07,1650.09
55.272,100,10553.26,13205.11,75,0,275,4663.14,1200.04,12.5,12.5,0,2520.19,250,300,1583.41,3000.28,2650.22,7985.33,283.34,0,350,16.67,1250.05,1233.38
56.807,66.67,10678.34,12471.22,62.5,50,287.5,4838.19,960.03,0,0,33.33,3940.47,140,520.01,1433.4,1980.12,2633.55,6926.5,416.67,83.33,150,16.67,1350.06,1450.07
58.343,116.67,11078.6,16608.08,100,33.33,337.5,5075.76,1000.03,0,50,33.33,3660.41,140,520.01,1800.1,1920.11,2650.22,8118.73,333.34,0,100,16.67,1000.03,1316.72
