D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-77.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 01:29:34 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,375,33.33,0,50,75,0,80,0,0,0,2260.16,0,720.02,3133.64,520.01,3100.3,8552.29,500.01,83.33,266.67,0,466.67,1016.7
3.08,16.67,5275.82,8535.47,50,16.67,137.5,475.01,320,25,0,0,460.01,40,220,1216.71,480.01,3033.62,7818.58,433.34,50,83.33,16.67,733.35,1366.73
4.615,33.33,6526.25,8268.67,87.5,33.33,187.5,1675.08,180,0,0,33.33,180,20,220,1433.4,240,2550.2,7301.67,466.67,66.67,266.67,16.67,1083.37,1166.71
6.15,50,5425.86,10636.65,75,50,37.5,187.5,380,0,0,0,140,10,60,1383.39,400,2600.21,6084.49,316.67,83.33,116.67,33.33,1166.71,1050.04
7.685,33.33,7626.7,9469.29,137.5,66.67,250,150,100,0,0,0,200,20,120,1150.04,440.01,2533.53,6701.4,383.34,66.67,200,16.67,866.69,1200.05
9.22,0,7976.86,8068.58,50,50,162.5,650.01,120,0,0,16.67,120,20,240,1216.71,420.01,2900.26,6984.86,533.34,33.33,150,0,950.03,1133.38
10.756,16.67,8051.9,10503.23,100,83.33,137.5,100,240,12.5,0,0,520.01,0,300,1383.39,380,2433.52,7885.28,516.68,50,50,0,1100.04,1183.38
12.291,66.67,7851.81,10903.48,0,83.33,175,100,200,0,0,0,440.01,30,260,1500.07,320,2616.88,6317.91,300,83.33,83.33,33.33,800.02,1216.72
13.826,33.33,8777.26,8735.57,50,0,37.5,187.5,200,0,0,0,100,20,100,1283.38,180,2433.52,7851.93,483.34,33.33,283.34,50,900.03,1583.42
15.361,50,9352.56,11403.81,62.5,0,100,162.5,60,0,0,0,140,20,120,1516.74,200,2433.52,6217.88,433.34,16.67,216.67,16.67,633.35,650.01
16.896,33.33,6576.27,8835.62,87.5,0,200,125,400,0,0,0,160,10,300,1366.72,340,2633.55,6718.08,433.34,0,133.33,0,1050.04,1533.41
18.431,16.67,8677.21,9469.29,125,33.33,175,262.5,180,0,0,0,440.01,10,320,1883.44,540.01,3116.97,7651.83,383.34,66.67,83.33,66.67,900.03,1950.13
19.966,150,6976.43,6734.66,37.5,66.67,62.5,75,320,0,0,16.67,200,0,140,1700.09,440.01,2466.86,7335.02,466.67,83.33,216.67,0,1016.7,1233.38
21.501,0,7151.5,8902.32,25,33.33,75,212.5,280,0,0,33.33,260,10,220,1433.4,340,2916.93,6251.22,366.67,16.67,216.67,16.67,883.36,1416.73
23.036,16.67,7676.73,9269.18,25,33.33,100,125,60,0,0,0,280,20,160,1433.4,260,2716.9,7101.58,416.67,66.67,133.33,0,1100.04,1283.39
24.571,16.67,8802.27,9002.37,137.5,16.67,150,100,160,0,0,0,160,0,120,1400.06,400,2133.48,7101.58,316.67,0,116.67,0,1000.03,1233.38
26.106,50,8977.36,9702.76,50,100,37.5,75,380,0,25,0,320,30,20,1416.73,220,2250.16,6459.64,350,16.67,50,33.33,833.36,1183.38
27.641,33.33,7001.44,10036.29,112.5,0,75,125,160,12.5,0,0,200,20,240,1583.41,260,2966.94,7118.25,466.67,33.33,116.67,66.67,1016.7,1550.08
29.176,33.33,7451.63,9369.24,87.5,0,12.5,125,140,0,0,0,200,10,80,1933.45,200,2233.49,6851.47,283.34,33.33,233.34,66.67,766.69,1783.44
30.712,33.33,6176.12,11203.68,50,16.67,162.5,87.5,160,0,0,0,660.01,60,340,1600.08,1020.03,3000.28,6651.38,283.34,66.67,100,0,900.03,1183.38
