D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-43.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 22:43:04 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,33.33,550.01,33.33,0,16.67,200,0,40,0,0,0,2940.26,0,360,2666.89,820.02,2233.49,7668.51,383.34,16.67,233.34,50,483.34,816.69
3.08,16.67,6851.37,8635.52,12.5,366.67,50,625.01,260,12.5,0,0,140,0,80,1233.38,180,2633.55,7051.55,383.34,66.67,100,16.67,1116.71,1100.04
4.615,66.67,7726.75,12004.22,100,16.67,212.5,1325.05,80,0,0,16.67,240,20,240,1533.41,300,2333.5,5684.34,400.01,0,183.33,16.67,650.01,983.37
6.15,166.67,6076.08,8001.88,37.5,0,125,212.5,280,0,0,33.33,220,20,100,1366.72,240,1866.78,5667.67,233.34,0,150,33.33,716.68,883.36
7.686,66.67,7251.54,9035.73,112.5,33.33,100,87.5,160,0,12.5,0,240,10,200,1333.39,380,2766.91,7018.21,400.01,0,150,16.67,950.03,1283.39
9.221,66.67,7301.56,9536,87.5,16.67,137.5,162.5,160,0,0,0,220,10,300,1316.72,740.02,2566.87,6484.65,316.67,50,166.67,16.67,900.03,983.37
10.756,33.33,6426.21,7801.78,25,66.67,150,137.5,220,0,0,33.33,620.01,0,220,1366.72,380,2166.81,6668.06,433.34,50,116.67,0,850.02,1000.03
12.291,16.67,6051.07,8101.92,25,33.33,100,87.5,240,12.5,0,0,420.01,10,220,1900.11,740.02,2450.19,7134.93,416.67,33.33,233.34,16.67,733.35,1183.38
13.826,33.33,8151.95,8468.77,125,16.67,162.5,37.5,280,12.5,0,0,420.01,30,280,1083.37,320,2216.82,5584.31,466.67,16.67,66.67,0,1133.38,1116.71
15.361,100,6326.17,8402.07,75,66.67,112.5,137.5,300,0,0,0,480.01,20,120,1300.05,420.01,2483.53,6968.18,333.34,0,216.67,16.67,950.03,1050.04
