D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-90.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 02:33:17 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,375,33.33,0,16.67,125,0,0,0,0,0,2420.18,0,340,2100.14,520.01,2150.14,5801.05,466.67,0,66.67,0,1016.7,1216.72
3.08,33.33,7126.49,11637.3,37.5,0,87.5,100,120,25,0,33.33,400,0,460.01,1950.12,560.01,3383.69,8318.83,500.01,16.67,216.67,16.67,1100.04,1533.41
4.615,33.33,6001.05,10970.19,75,0,125,100,20,25,0,0,240,20,100,1150.04,220,2883.59,5984.45,450.01,16.67,116.67,0,916.69,1016.7
6.15,0,6826.37,9135.78,100,16.67,112.5,175,200,0,0,0,520.01,0,280,1183.38,280,2266.83,5450.93,250,16.67,216.67,33.33,866.69,1250.05
7.686,16.67,7176.51,7668.39,50,16.67,100,137.5,160,0,0,16.67,180,0,140,1183.38,300,2233.49,6384.61,516.68,0,200,0,1116.71,1350.06
9.221,50,7976.86,9235.83,87.5,66.67,87.5,87.5,280,0,0,0,400,10,240,1466.73,340,2816.91,5667.67,400.01,33.33,200,0,933.36,833.36
10.756,83.33,7226.53,9802.82,137.5,16.67,87.5,137.5,120,0,0,0,260,0,160,1533.41,180,2583.54,6417.96,183.33,66.67,116.67,0,800.02,1050.04
12.291,50,7151.5,9335.89,112.5,50,125,62.5,40,0,0,33.33,500.01,60,200,1083.37,460.01,2200.15,6718.08,433.34,16.67,116.67,16.67,1050.04,1183.38
13.826,33.33,6576.27,8135.27,50,33.33,87.5,12.5,80,0,0,0,220,20,260,1366.72,240,2433.52,5584.31,300,33.33,133.33,33.33,883.36,1233.38
15.361,50,6426.21,9769.46,50,33.33,62.5,50,20,0,0,0,280,0,280,1400.06,220,2483.53,6384.61,450.01,66.67,100,50,883.36,1083.37
16.896,0,6826.37,8802.27,100,0,162.5,112.5,100,0,0,0,380,20,120,1250.05,200,2650.22,7618.48,416.67,0,150,16.67,1083.37,1183.38
18.431,16.67,7676.73,10303.11,75,50,150,125,260,0,12.5,0,260,0,240,1200.04,280,2883.59,6926.5,350,33.33,250,0,716.68,1216.72
19.966,16.67,5500.89,8902.32,37.5,16.67,137.5,87.5,220,0,0,0,320,30,40,1066.7,300,2233.49,6834.79,366.67,0,66.67,0,850.02,1183.38
21.501,33.33,5750.97,6434.55,37.5,0,162.5,100,300,0,0,0,120,0,160,1350.06,240,2016.79,5767.71,316.67,16.67,133.33,0,1266.72,1000.03
23.036,66.67,6551.26,9569.35,25,0,125,62.5,180,0,0,0,220,10,60,1750.09,180,1733.43,6434.63,566.68,16.67,66.67,50,1033.37,983.37
24.571,33.33,5926.03,7668.39,62.5,0,112.5,137.5,200,12.5,0,0,80,20,140,1166.71,180,2550.2,6518,266.67,0,150,16.67,1000.03,1066.7
26.106,0,6851.37,7501.65,50,16.67,162.5,150,60,0,0,0,140,20,100,1750.09,200,2450.19,6184.53,350,66.67,150,0,966.7,1300.06
