D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-2.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 19:22:17 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,16.67,475.01,0,0,16.67,37.5,0,20,0,0,116.67,9782.91,230,1840.1,4350.58,2620.21,3933.82,12438.17,650.01,100,150,66.67,2116.81,2116.82
3.08,16.67,14581.22,19978.36,162.5,83.33,3025.27,2700.22,420.01,0,0,0,600.01,10,340,1983.45,1400.06,4267.24,12338.09,700.02,16.67,183.33,33.33,1350.06,1583.42
4.615,50,10002.93,14205.91,225,66.67,100,225,400,0,0,0,320,40,200,2200.15,800.02,4333.92,12304.73,716.68,33.33,233.34,16.67,1500.07,1633.42
6.15,66.67,11078.6,12938.24,100,50,100,225,380,0,12.5,16.67,360,10,420.01,4167.2,1940.12,6184.53,14806.85,683.35,33.33,233.34,16.67,1566.75,1766.77
7.685,133.33,13330.2,18877.11,187.5,83.33,50,1487.57,260,25,0,0,1020.03,20,360,2516.86,1540.07,4433.95,13856,683.35,83.33,200,0,1866.78,1800.11
9.22,50,11503.88,16507.98,75,100,100,250,260,0,0,33.33,380,20,640.01,2266.83,1600.08,3000.28,8719.04,483.34,66.67,183.33,66.67,1783.44,2433.53
10.755,33.33,14781.4,21079.69,175,66.67,100,112.5,380,0,0,0,540.01,20,240,2233.49,800.02,3533.72,10536.81,866.69,50,266.67,50,1600.08,1666.76
12.29,133.33,8927.33,11870.8,137.5,83.33,87.5,237.5,520.01,0,0,33.33,520.01,10,280,1733.43,460.01,3833.79,9386.09,350,0,200,0,1400.06,2200.16
13.825,100,10052.96,13338.55,100,33.33,125,2012.62,700.01,12.5,25,0,520.01,10,460.01,2216.82,1760.1,4067.18,10219.93,450.01,33.33,116.67,16.67,1650.09,1783.44
15.36,16.67,10853.45,11737.37,100,0,25,225,420.01,12.5,25,0,740.02,30,400,2883.59,1280.05,3833.79,11837.71,583.34,33.33,83.33,1500.07,2716.91,2433.53
16.896,133.33,9727.77,12437.87,75,16.67,87.5,500.01,600.01,25,0,0,1160.04,20,380,2600.21,780.02,3383.69,12221.34,750.02,0,150,16.67,1333.39,1616.75
18.431,133.33,10803.42,11670.66,175,0,112.5,462.51,480.01,50,0,0,820.02,10,320,2266.83,860.02,3450.37,9586.2,583.34,16.67,166.67,0,1683.43,2033.47
19.966,150,12279.42,16341.16,75,133.33,150,300,540.01,0,12.5,0,720.02,10,600.01,2650.22,600.01,4217.22,10970.43,650.01,83.33,200,66.67,1033.37,1400.07
21.501,50,12404.51,13638.78,62.5,83.33,187.5,225,600.01,0,0,0,380,0,340,1750.09,880.02,3633.75,11921.11,816.69,16.67,150,0,1300.06,1216.72
23.036,16.67,11278.72,14372.72,100,50,87.5,237.5,280,12.5,0,0,800.02,10,600.01,2066.8,600.01,3300.34,9986.45,766.69,50,200,0,1883.45,1750.1
24.571,33.33,10578.28,13071.67,125,33.33,50,275,440.01,0,0,33.33,540.01,0,480.01,1933.45,960.03,2933.6,9803.01,616.68,16.67,150,66.67,1266.72,2250.17
