D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-30.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-04 21:39:25 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,425.01,33.33,0,16.67,75,0,0,0,0,0,2760.23,0,1640.08,3900.47,1660.09,3033.62,8235.45,366.67,366.67,116.67,16.67,633.35,1133.38
3.08,100,8252,12104.29,125,100,100,212.5,220,0,0,0,260,40,340,1450.06,140,2333.5,7835.25,366.67,83.33,183.33,50,1200.05,1316.72
4.615,50,7651.72,10269.76,100,50,125,150,240,0,12.5,0,180,0,140,1333.39,320,3166.98,8852.45,533.34,33.33,183.33,33.33,1050.04,1550.08
6.15,66.67,8952.35,11904.15,100,66.67,112.5,75,180,0,0,0,380,10,100,1150.04,480.01,2533.53,8135.4,533.34,66.67,133.33,0,1366.73,1783.44
7.685,66.67,10528.25,17575.72,50,50,125,262.5,440.01,25,0,0,540.01,20,300,1600.08,760.02,3600.41,8852.45,483.34,33.33,183.33,50,716.68,1200.05
9.22,50,7926.84,9802.82,175,66.67,37.5,125,280,0,0,0,200,20,120,1500.07,320,2066.8,7635.16,333.34,33.33,33.33,0,1033.37,1066.7
10.755,0,7026.45,9035.73,100,83.33,87.5,162.5,260,0,0,0,360,20,180,1283.38,360,2100.14,6184.53,433.34,16.67,133.33,100,933.36,1316.72
12.29,83.33,8627.18,11437.17,62.5,66.67,100,150,360,0,0,0,340,10,380,1583.41,380,3016.95,6801.45,216.67,33.33,100,33.33,950.03,1116.71
13.826,100,9677.74,12504.58,162.5,50,87.5,87.5,240,25,0,0,520.01,0,160,1533.41,900.03,2766.91,8268.81,250,33.33,183.33,0,1066.7,1066.7
15.361,50,7601.69,8201.97,62.5,50,125,150,620.01,0,25,0,860.02,0,380,2066.8,600.01,2816.91,8669.02,300,16.67,133.33,16.67,1566.75,1283.39
16.896,116.67,8026.89,8602.17,112.5,50,87.5,87.5,360,0,0,0,540.01,70,60,1650.08,320,3317.01,9386.09,233.34,33.33,200,50,1050.04,1350.06
18.431,100,7926.84,11670.66,100,0,137.5,37.5,120,0,0,0,160,10,120,1783.43,360,2700.23,6034.47,233.34,83.33,166.67,0,1000.03,1400.07
19.966,16.67,7326.57,9802.82,62.5,50,50,312.5,220,0,25,16.67,260,20,80,1083.37,320,2733.57,7401.71,316.67,33.33,250,33.33,1000.03,1300.06
21.501,83.33,7726.75,9902.88,100,16.67,125,187.5,220,0,0,0,640.01,0,60,1733.43,740.02,2016.79,6751.43,183.33,33.33,83.33,0,833.36,1366.73
23.036,0,7151.5,9302.54,112.5,116.67,125,125,300,0,0,0,720.02,20,200,1633.42,940.03,2866.92,7885.28,483.34,0,300,16.67,1066.7,1416.73
24.571,33.33,9102.43,11136.97,112.5,66.67,137.5,212.5,140,0,0,16.67,540.01,0,220,1716.76,440.01,3350.35,10253.29,450.01,83.33,150,0,1500.07,2183.49
26.106,50,15482.02,17675.82,200,50,100,462.51,660.01,0,0,0,820.02,30,460.01,1933.45,880.02,2300.17,8018.68,350,0,83.33,50,1150.04,1066.7
27.641,16.67,7801.78,8135.27,50,0,100,375,440.01,0,0,0,340,50,200,1833.44,1160.04,3033.62,9686.27,400.01,16.67,150,0,1316.72,1683.43
29.176,100,7501.65,9969.58,37.5,66.67,137.5,487.51,220,0,0,0,300,20,180,2150.14,560.01,2133.48,5867.74,283.34,33.33,66.67,0,1000.03,1183.38
30.711,33.33,8427.08,10369.82,37.5,33.33,112.5,287.5,240,0,0,0,280,10,260,1833.44,360,1900.11,6201.2,300,16.67,150,33.33,1000.03,1100.04
32.246,66.67,7051.46,10269.76,75,83.33,37.5,212.5,260,0,0,16.67,320,10,240,1833.44,460.01,2483.53,7101.58,383.34,0,83.33,16.67,1600.08,1116.71
33.782,33.33,6726.33,9802.82,87.5,16.67,112.5,350,340,0,0,0,300,20,140,1600.08,220,1716.76,6051.14,300,33.33,266.67,33.33,916.69,1000.03
35.317,33.33,7226.53,9002.37,62.5,0,100,225,260,12.5,0,16.67,340,20,280,1750.09,560.01,2566.87,6034.47,233.34,0,133.33,50,1183.38,1133.38
36.852,83.33,7401.6,9235.83,25,16.67,62.5,475.01,200,50,0,0,360,10,400,1650.08,480.01,2400.18,7118.25,283.34,16.67,150,16.67,1350.06,1266.72
