D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-135.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 06:13:42 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,125,100,0,16.67,100,0,0,0,0,33.33,4080.51,60,1000.03,3633.74,700.02,3050.29,8535.61,450.01,16.67,133.33,66.67,1516.74,1800.11
3.08,100,9802.81,11370.46,125,33.33,212.5,312.5,120,0,0,0,380,0,260,1600.08,500.01,2250.16,6701.4,283.34,33.33,33.33,0,1000.03,1283.39
4.615,16.67,6026.06,9836.17,75,0,112.5,100,100,0,0,0,260,20,240,1483.4,120,2316.83,7368.36,400.01,66.67,233.34,50,1433.4,1183.38
6.15,100,5075.76,7701.74,87.5,83.33,100,200,260,25,0,16.67,580.01,20,420.01,1500.07,780.02,2066.8,6968.18,366.67,0,183.33,33.33,800.02,1300.06
7.685,0,7476.64,9602.7,50,33.33,137.5,100,140,0,0,0,300,10,180,1400.06,100,2100.14,7551.78,566.68,16.67,216.67,0,933.36,1666.76
9.22,33.33,6801.36,8902.32,75,0,162.5,100,160,0,0,16.67,880.02,20,500.01,1950.12,960.03,3116.97,9352.73,433.34,66.67,133.33,83.33,1083.37,1216.72
10.755,116.67,7526.66,9736.11,37.5,16.67,87.5,150,320,0,0,0,360,20,80,1350.06,320,3066.96,9069.24,366.67,50,50,33.33,1100.04,1333.39
12.29,33.33,8527.13,7401.61,37.5,0,112.5,100,140,12.5,0,33.33,540.01,0,340,1450.06,500.01,2800.25,8185.43,516.68,0,166.67,50,766.69,1433.4
13.825,83.33,9252.51,12671.37,125,16.67,62.5,87.5,260,25,0,0,840.02,10,320,1516.74,240,3150.31,8318.83,300,0,183.33,16.67,933.36,1250.05
15.361,66.67,8101.92,9569.35,87.5,66.67,137.5,75,140,0,12.5,0,340,10,120,1150.04,180,1933.45,5784.38,316.67,0,250,16.67,883.36,1266.72
16.896,66.67,7676.73,9569.35,37.5,0,75,175,200,0,37.5,0,320,10,320,1533.41,400,2500.2,6684.73,550.01,16.67,83.33,0,1166.71,950.03
18.431,83.33,8226.98,8201.97,75,83.33,112.5,212.5,260,0,0,0,780.02,40,360,1683.42,480.01,2616.88,6401.28,350,16.67,133.33,0,933.36,1366.73
19.966,33.33,9352.56,9869.52,87.5,16.67,162.5,262.5,320,37.5,0,0,440.01,20,140,1266.72,520.01,1550.08,3567.07,233.34,66.67,183.33,0,883.36,1483.41
21.501,50,10378.15,11637.3,87.5,50,62.5,100,300,0,0,0,220,40,180,1400.06,140,2150.14,7318.34,500.01,0,116.67,16.67,916.69,1483.41
23.036,0,8777.26,9536,50,16.67,62.5,187.5,300,0,0,0,500.01,50,120,1683.42,120,2750.24,8518.94,216.67,16.67,50,0,950.03,1116.71
24.571,100,8952.35,10236.41,100,16.67,87.5,137.5,240,0,0,0,360,0,260,1366.72,220,2566.87,6968.18,183.33,66.67,183.33,33.33,1283.39,1483.41
26.106,50,8101.92,9402.59,50,0,150,162.5,240,0,0,50,620.01,0,440.01,2133.47,720.02,2900.26,9586.21,316.67,83.33,116.67,16.67,1333.39,1416.73
