D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-3.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:29:41 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,0,387.5,25,16.67,0,0,0,17859.7,140,5300.87,2283.49,416.67,50,233.34,0,383.34,1000.03
2.646,16.67,275,33.33,587.51,462.51,1150.04,0,25,83.33,4483.95,20,3333.68,1300.05,633.35,133.33,266.67,0,950.03,800.02
3.964,33.33,275,66.67,525.01,562.51,1016.7,0,12.5,50,4350.58,110,3066.96,1066.7,666.68,183.33,166.67,16.67,716.68,933.36
5.282,0,175,33.33,575.01,512.51,883.36,0,12.5,0,4784.03,80,2366.84,1200.04,583.34,150,233.34,0,716.68,1183.38
6.6,16.67,250,100,587.51,412.51,1133.37,37.5,0,116.67,3583.72,70,2583.54,1300.05,583.34,250,150,16.67,783.35,1066.7
7.918,33.33,237.5,100,562.51,512.51,800.02,25,25,33.33,4450.6,30,2766.9,1500.07,516.68,166.67,200,0,683.35,950.03
9.236,16.67,275,66.67,587.51,412.51,1350.05,0,37.5,83.33,3983.82,20,2783.57,1433.4,466.67,100,150,16.67,716.68,1300.06
10.554,100,250,116.67,512.51,425.01,1016.7,12.5,12.5,83.33,4067.17,70,2900.26,933.36,450.01,133.33,200,33.33,650.01,1133.38
11.872,16.67,200,100,637.51,400,1250.05,25,0,66.67,3233.65,30,2966.94,966.7,500.01,233.34,116.67,16.67,650.01,1000.03
13.19,0,250,100,512.51,437.51,1250.05,0,12.5,100,3250.32,40,2450.19,1016.7,533.34,216.67,116.67,16.67,800.02,1083.37
14.508,33.33,262.5,150,650.01,450.01,966.69,12.5,0,116.67,3066.95,60,3867.13,1000.03,683.35,200,150,33.33,650.01,1083.37
15.826,66.67,287.5,66.67,425.01,350,1216.71,0,0,116.67,3617.06,70,2533.53,883.36,500.01,100,100,16.67,700.02,666.68
17.145,0,275,83.33,462.51,437.51,1550.07,12.5,25,33.33,5600.96,40,3400.36,900.03,283.34,100,233.34,0,716.68,733.35
18.463,0,312.5,100,662.51,525.01,616.68,0,0,100,3717.09,20,2633.55,666.68,383.34,83.33,100,16.67,683.35,1150.04
19.781,16.67,200,33.33,500.01,575.01,900.02,25,0,50,3417.02,50,3000.28,700.02,500.01,200,150,33.33,916.69,866.69
21.098,33.33,275,133.33,850.02,562.51,933.36,0,37.5,33.33,3517.04,40,2233.49,633.35,766.69,33.33,183.33,0,733.35,683.35
22.417,16.67,275,100,525.01,437.51,833.35,12.5,12.5,50,4617.32,60,2650.22,1266.72,483.34,150,216.67,33.33,583.34,1033.37
23.735,16.67,162.5,133.33,525.01,262.5,1066.7,12.5,25,116.67,4100.51,30,2533.53,950.03,433.34,266.67,133.33,0,850.02,866.69
25.053,0,150,50,387.5,537.51,866.69,0,37.5,16.67,3050.28,30,2550.2,1366.72,433.34,116.67,166.67,16.67,716.68,966.7
