D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-1.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:21:13 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,16.67,525.01,0,0,0,0,0,28942.13,100,3900.47,1283.38,483.34,166.67,133.33,0,500.01,1716.77
2.646,66.67,300,33.33,687.51,512.51,850.02,0,25,66.67,3633.74,100,3517.05,1316.72,650.01,150,116.67,50,1083.37,1150.04
3.964,16.67,250,50,500.01,537.51,650.01,0,0,33.33,3050.28,80,3933.81,1216.71,833.36,83.33,100,16.67,1050.04,1466.74
5.282,66.67,187.5,166.67,600.01,312.5,750.02,0,37.5,133.33,3733.76,80,2850.25,1116.71,683.35,166.67,266.67,0,883.36,1266.72
6.6,16.67,262.5,100,550.01,650.01,1100.04,0,0,50,4433.93,50,2750.23,1016.7,633.35,100,200,0,1116.71,1550.08
7.918,16.67,325,100,612.51,325,1166.71,12.5,12.5,100,3800.44,40,3533.72,1266.72,866.69,133.33,183.33,0,1283.39,1250.05
9.236,33.33,425.01,100,462.51,550.01,900.02,0,25,66.67,3266.99,100,2833.58,1316.72,683.35,83.33,133.33,0,700.02,1250.05
10.554,83.33,362.5,133.33,662.51,525.01,783.35,0,0,100,3383.68,30,3567.06,966.7,616.68,233.34,216.67,0,833.36,1200.05
11.872,66.67,275,233.33,687.51,475.01,1016.7,0,37.5,83.33,4583.97,70,2816.91,883.36,783.35,50,300,16.67,816.69,1116.71
13.19,100,262.5,150,400,500.01,1166.71,12.5,0,150,3200.31,70,3833.79,1100.04,616.68,133.33,200,66.67,583.34,1316.72
14.509,66.67,275,66.67,525.01,437.51,1050.03,0,0,33.33,4367.25,60,2683.56,1466.73,716.68,183.33,166.67,0,1133.38,1766.77
15.827,33.33,450.01,116.67,437.51,437.51,1216.71,0,37.5,33.33,3883.79,10,2883.59,966.7,683.35,100,250,33.33,1000.03,1433.4
17.145,0,325,16.67,500.01,475.01,966.69,12.5,0,83.33,2816.91,30,3200.32,1300.05,783.35,166.67,233.34,16.67,633.35,1100.04
18.463,50,262.5,133.33,562.51,612.51,1183.37,0,25,116.67,4017.16,40,2516.86,916.69,483.34,183.33,133.33,0,1050.04,1266.72
19.781,16.67,275,33.33,537.51,375,783.35,50,25,83.33,3717.09,70,3433.7,1166.71,533.34,183.33,216.67,0,683.35,1283.39
21.098,0,500.01,66.67,550.01,375,1283.38,12.5,12.5,50,4033.83,30,3500.38,1450.07,633.35,166.67,183.33,0,1300.06,1166.71
22.417,16.67,325,133.33,400,612.51,1116.7,12.5,12.5,83.33,4233.88,80,2850.25,1133.37,716.68,150,183.33,0,966.7,1000.03
23.735,116.67,337.5,200,450.01,412.51,766.68,37.5,12.5,16.67,4300.56,90,2983.61,900.03,950.03,133.33,166.67,50,783.35,1900.12
25.053,116.67,350,133.33,512.51,437.51,1266.71,12.5,0,50,3817.11,60,3116.97,750.02,550.01,133.33,133.33,33.33,1400.06,1150.04
26.371,83.33,262.5,83.33,625.01,462.51,983.36,0,0,50,3950.47,110,2433.52,1166.71,766.69,83.33,383.34,33.33,1100.04,800.02
27.689,116.67,412.5,100,700.01,650.01,1100.04,12.5,0,83.33,4033.83,50,2266.83,1316.72,600.01,116.67,300,16.67,866.69,1050.04
29.007,16.67,275,133.33,537.51,400,683.35,0,12.5,0,4600.64,60,3000.28,966.7,883.36,83.33,200,0,1100.04,1333.39
30.325,16.67,350,50,625.01,375,1066.7,0,0,16.67,3333.67,50,3867.13,1150.04,366.67,216.67,166.67,33.33,1550.08,1616.75
31.643,66.67,225,133.33,362.5,450.01,1066.7,25,12.5,66.67,4233.88,50,3150.31,1133.37,616.68,183.33,266.67,0,1033.37,1350.06
32.961,50,312.5,50,400,412.51,1100.04,12.5,25,66.67,3983.82,60,2916.93,1366.72,850.02,133.33,183.33,33.33,600.01,816.69
34.279,33.33,212.5,66.67,487.51,412.51,916.69,25,0,33.33,3633.74,90,3317.01,1200.04,516.68,166.67,233.34,0,1116.71,833.36
35.597,33.33,375,66.67,562.51,487.51,1383.39,12.5,0,66.67,4017.16,30,2933.6,933.36,483.34,183.33,183.33,16.67,883.36,883.36
36.916,33.33,250,133.33,487.51,475.01,1500.07,0,12.5,66.67,4583.97,90,3267,1150.04,533.34,66.67,116.67,33.33,766.69,1116.71
38.234,16.67,350,66.67,275,500.01,1133.37,0,0,66.67,3767.1,50,2450.19,1150.04,583.34,116.67,200,0,983.37,1116.71
39.552,16.67,212.5,0,625.01,575.01,850.02,0,37.5,83.33,3567.05,50,2983.61,1350.06,450.01,166.67,200,0,783.35,1116.71
40.87,16.67,200,100,575.01,350,1283.38,12.5,12.5,50,3700.42,50,2866.92,1266.72,766.69,83.33,200,33.33,766.69,1016.7
42.188,66.67,187.5,50,337.5,450.01,950.03,0,0,100,4333.9,30,3000.28,783.35,650.01,250,166.67,0,1050.04,1016.7
43.506,66.67,187.5,116.67,412.51,712.52,1016.7,0,0,100,2650.21,70,3533.72,1300.05,700.02,183.33,133.33,16.67,1133.38,1233.38
44.824,66.67,162.5,50,512.51,737.52,1000.03,12.5,25,50,3683.75,50,2916.93,1300.05,633.35,133.33,183.33,33.33,700.02,866.69
46.142,16.67,375,116.67,587.51,450.01,783.35,12.5,0,50,4017.16,10,3050.29,1000.03,533.34,133.33,183.33,33.33,1166.71,1100.04
47.46,50,250,66.67,487.51,512.51,966.69,0,25,50,4450.6,20,2900.26,1016.7,466.67,150,133.33,16.67,800.02,1133.38
48.778,16.67,87.5,0,425.01,475.01,966.69,12.5,0,50,3900.46,60,3050.29,983.36,550.01,216.67,133.33,16.67,950.03,766.69
50.096,16.67,300,116.67,475.01,500.01,716.68,37.5,12.5,33.33,3783.77,30,2783.57,1466.73,550.01,150,183.33,0,816.69,1316.72
51.414,16.67,225,16.67,437.51,437.51,1066.7,0,25,33.33,4917.4,50,2633.55,1083.37,400.01,100,233.34,16.67,816.69,1100.04
52.732,0,300,133.33,462.51,737.52,933.36,12.5,12.5,83.33,4483.95,80,3100.3,966.7,733.35,116.67,383.34,66.67,900.03,950.03
54.05,33.33,212.5,166.67,400,525.01,933.36,0,0,116.67,3917.13,30,2950.27,1100.04,433.34,166.67,200,16.67,1050.04,1066.7
55.368,50,162.5,50,500.01,625.01,966.69,0,0,83.33,3333.67,60,2750.23,1483.4,583.34,233.34,100,50,1033.37,933.36
