D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\50ppm-cal7-1.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:46:30 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,0,1025.03,0,0,0,0,2216.82,35705.41,2040.13,5467.59,2083.47,783.35,1350.06,183.33,0,833.36,1566.75
2.646,0,1900.11,183.33,3125.29,4700.65,1150.04,25,200,1200.04,5350.87,460.01,4117.19,1516.74,450.01,2033.47,100,83.33,700.02,1333.39
3.964,16.67,2512.69,116.67,3925.45,4625.63,1233.38,0,325,1333.39,3650.41,520.01,4017.16,1966.79,650.01,1433.4,200,33.33,916.69,1233.38
5.282,66.67,1600.08,283.34,3550.37,4250.53,616.68,12.5,200,916.69,4567.3,670.01,4517.3,1500.07,483.34,2433.53,233.34,0,750.02,1033.37
6.6,33.33,1350.05,333.34,3725.41,4325.55,966.69,12.5,100,1250.05,4567.3,760.02,2683.56,2083.47,683.35,1816.77,133.33,16.67,966.7,1266.72
7.919,50,1937.61,233.33,3050.27,4925.72,583.34,0,150,900.02,4050.5,720.02,3133.64,1916.78,550.01,1533.41,166.67,16.67,1083.37,1516.74
9.237,0,1525.07,300,3237.81,3800.43,816.69,12.5,312.5,1400.06,3133.63,570.01,3883.8,1983.46,700.02,2733.58,166.67,33.33,783.35,1083.37
10.555,66.67,1362.55,183.33,4075.49,4663.14,1000.03,0,150,1166.71,4250.55,590.01,3500.38,2116.81,533.34,2333.51,150,0,1066.7,1200.05
11.873,0,2037.62,216.67,4150.51,4325.55,1116.7,0,112.5,1133.37,4267.22,590.01,4333.91,1566.74,766.69,2283.5,166.67,0,1266.72,1083.37
13.191,0,1487.57,266.67,3612.88,4163.01,1316.72,12.5,275,966.7,3400.35,540.01,3500.38,1566.74,600.01,2300.17,100,16.67,1050.04,1150.04
