D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\0ppm-cal7-1.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:06:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,0,887.52,0,0,0,0,0,24785.34,10,6217.86,2283.49,550.01,83.33,66.67,0,866.69,1383.4
2.646,16.67,187.5,116.67,512.51,512.51,900.02,12.5,0,0,4283.89,0,3417.03,1150.04,683.35,100,250,33.33,1100.04,1483.41
3.964,0,200,83.33,287.5,362.5,700.01,12.5,0,0,2750.23,10,2866.92,1633.42,666.68,0,183.33,0,1466.74,1600.09
5.282,16.67,200,116.67,325,325,1100.04,25,0,16.67,3817.11,30,4017.16,1133.37,683.35,100,133.33,66.67,766.69,1450.07
6.6,83.33,162.5,150,500.01,212.5,616.68,0,0,0,3733.76,10,3033.62,1050.03,733.35,50,200,0,1000.03,1450.07
7.918,33.33,262.5,250,375,325,1100.04,12.5,0,0,4017.16,30,3300.34,1200.04,600.01,33.33,116.67,16.67,1316.72,1666.76
9.236,33.33,312.5,100,312.5,375,950.03,0,0,33.33,3250.32,30,3000.28,1433.4,716.68,16.67,133.33,16.67,1266.72,1300.06
10.554,16.67,137.5,83.33,637.51,287.5,850.02,12.5,0,0,3350.34,50,3317.01,2150.14,816.69,16.67,183.33,16.67,1066.7,1383.4
11.872,33.33,200,116.67,300,312.5,800.02,0,0,0,3433.69,40,3083.63,1583.41,700.02,33.33,183.33,16.67,1216.72,1400.07
13.19,33.33,275,33.33,325,400,816.69,0,0,16.67,4167.2,30,2966.94,1633.42,666.68,83.33,83.33,33.33,983.37,800.02
14.508,66.67,275,166.67,475.01,425.01,833.35,0,0,0,3800.44,70,4000.49,1533.41,633.35,100,116.67,100,1316.72,1683.43
15.826,83.33,200,133.33,412.51,437.51,966.69,0,0,0,3517.04,40,4467.28,1366.72,716.68,66.67,166.67,0,1466.74,1350.06
17.145,16.67,275,33.33,312.5,287.5,800.02,12.5,0,0,4000.49,50,3183.65,1333.39,666.68,33.33,183.33,0,1133.38,1083.37
18.463,83.33,287.5,83.33,237.5,262.5,866.69,0,12.5,33.33,4067.17,60,2900.26,1383.39,600.01,0,166.67,16.67,1283.39,1083.37
19.781,16.67,137.5,150,325,200,683.35,0,0,0,3683.75,70,3617.07,1400.06,800.02,50,233.34,33.33,916.69,1700.1
21.098,66.67,175,33.33,512.51,425.01,866.69,12.5,25,0,2683.55,10,2716.89,1250.05,616.68,33.33,216.67,16.67,1350.06,1716.77
22.417,16.67,237.5,16.67,500.01,337.5,966.69,12.5,0,33.33,3450.36,40,3033.62,1550.07,850.02,50,216.67,0,1433.4,1333.39
23.735,16.67,200,216.67,437.51,362.5,783.35,0,0,16.67,3900.46,60,3683.75,1400.06,650.01,66.67,200,0,1033.37,1200.05
25.053,16.67,137.5,200,362.5,400,900.02,0,12.5,0,3050.28,30,3967.15,1833.44,700.02,66.67,83.33,50,1150.04,1583.42
26.371,16.67,237.5,150,400,137.5,683.35,0,0,16.67,3233.65,30,3233.66,1016.7,800.02,100,166.67,33.33,966.7,1483.41
27.689,66.67,237.5,0,362.5,425.01,1133.37,0,0,16.67,4033.83,20,2683.56,950.03,783.35,50,216.67,0,1450.07,1416.73
29.007,33.33,212.5,116.67,500.01,312.5,750.02,0,25,0,3216.98,40,3633.74,1200.04,900.03,16.67,183.33,33.33,1050.04,1150.04
30.325,66.67,212.5,116.67,350,237.5,766.68,0,0,16.67,3100.29,20,3000.28,1433.4,966.7,83.33,200,16.67,1200.05,1466.74
31.643,16.67,200,83.33,350,325,916.69,50,0,16.67,3850.45,20,3000.28,1066.7,566.68,50,216.67,16.67,800.02,1383.4
32.961,0,400,66.67,487.51,287.5,916.69,0,0,0,3350.34,50,3550.39,933.36,666.68,33.33,233.34,0,1250.05,1566.75
34.279,66.67,300,133.33,425.01,375,866.69,25,12.5,66.67,3483.7,80,3733.76,1550.07,716.68,50,166.67,16.67,1033.37,1466.74
35.597,16.67,175,33.33,450.01,387.5,1050.03,0,0,0,3750.43,0,3200.32,1466.73,683.35,66.67,233.34,0,1183.38,1516.74
36.915,83.33,212.5,83.33,500.01,450.01,1000.03,0,0,0,4300.56,10,4017.16,1483.4,600.01,33.33,233.34,0,1116.71,1383.4
38.234,16.67,200,66.67,375,525.01,933.36,0,0,0,3283.66,50,3216.99,1683.42,616.68,0,100,16.67,1383.4,1466.74
39.552,33.33,175,83.33,500.01,300,833.35,0,0,0,2916.93,40,3000.28,1166.71,866.69,50,233.34,33.33,1066.7,1066.7
40.87,33.33,200,66.67,450.01,237.5,900.02,12.5,0,0,3200.31,30,3033.62,1583.41,616.68,50,366.67,33.33,1433.4,1200.05
42.188,0,137.5,133.33,537.51,337.5,650.01,0,0,0,3450.36,30,3417.03,1116.71,816.69,50,83.33,16.67,1216.72,1316.72
43.506,33.33,137.5,150,325,412.51,783.35,0,0,16.67,3533.71,40,4200.54,1450.07,516.68,33.33,233.34,0,1100.04,1566.75
44.824,33.33,325,100,325,187.5,916.69,0,0,0,3266.99,0,4817.38,1316.72,950.03,83.33,316.67,16.67,1216.72,1533.41
46.142,16.67,337.5,66.67,275,237.5,783.35,0,0,0,4000.49,40,3350.35,1366.72,750.02,16.67,133.33,50,1316.72,1183.38
47.46,33.33,287.5,133.33,425.01,350,800.02,0,0,0,3933.8,80,4600.65,1216.71,700.02,16.67,150,0,1400.06,1383.4
48.778,66.67,175,116.67,425.01,375,1050.03,0,0,50,3216.98,40,3200.32,1200.04,650.01,16.67,183.33,50,1233.38,1550.08
50.096,16.67,175,116.67,437.51,312.5,1000.03,0,0,0,3717.09,30,2933.6,1200.04,766.69,50,233.34,16.67,1216.72,1350.06
51.414,0,237.5,33.33,325,250,833.35,37.5,12.5,0,3433.69,20,3850.46,1083.37,966.7,50,150,16.67,1533.41,1700.1
52.732,66.67,175,150,225,275,883.36,37.5,0,0,3400.35,40,3900.47,1216.71,833.36,66.67,200,16.67,1216.72,1666.76
54.05,16.67,187.5,66.67,400,287.5,1000.03,50,0,16.67,3633.74,50,3350.35,1183.38,883.36,66.67,183.33,66.67,1316.72,1250.05
