D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\100ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 18:04:26 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,16.67,1225.04,0,0,0,0,66.67,2283.49,730.02,5134.15,1566.74,350,250,300,0,416.67,1033.37
2.646,33.33,50,116.67,1137.54,412.51,50,12.5,62.5,166.67,116.67,50,2833.58,750.02,333.34,433.34,116.67,0,283.34,900.03
3.964,33.33,650.01,150,2325.16,2312.66,166.67,12.5,87.5,933.36,866.69,160,3016.95,800.02,350,383.34,183.33,16.67,383.34,566.68
5.282,0,375,33.33,1262.55,937.53,183.33,0,87.5,533.34,333.34,170,3333.68,966.7,300,266.67,83.33,0,416.67,850.02
6.6,16.67,487.51,66.67,1475.06,1250.05,100,0,25,450.01,600.01,170,2533.53,900.03,416.67,783.35,233.34,16.67,516.68,1016.7
7.918,33.33,1687.58,250,3762.92,5338.34,566.68,0,150,1466.73,3066.95,760.02,2900.26,1366.72,283.34,2933.61,183.33,16.67,650.01,1050.04
9.236,33.33,1912.61,316.67,3900.45,4138.01,466.67,0,200,483.34,433.34,160,3000.28,933.36,416.67,383.34,150,0,350,500.01
10.555,16.67,287.5,66.67,1275.05,387.5,200,25,37.5,150,116.67,200,3583.73,1083.37,233.34,1133.38,116.67,0,516.68,733.35
11.873,50,975.03,233.33,2987.76,4175.51,683.35,0,175,833.35,1333.39,270,3150.31,1000.03,566.68,666.68,150,33.33,483.34,750.02
13.191,16.67,237.5,33.33,1750.09,1100.04,283.34,0,25,166.67,100,50,3333.68,900.03,383.34,66.67,233.34,16.67,533.34,633.35
14.509,0,300,66.67,875.02,500.01,150,0,37.5,383.34,200,120,3283.67,1316.72,466.67,200,200,33.33,366.67,900.03
15.827,33.33,250,100,1712.59,962.53,183.33,12.5,75,266.67,133.33,100,3033.62,533.34,416.67,133.33,283.34,33.33,633.35,666.68
17.145,0,225,83.33,1387.56,712.52,233.33,0,50,316.67,416.67,70,2916.93,1166.71,516.68,466.67,150,16.67,383.34,433.34
18.463,33.33,487.51,66.67,1775.09,987.53,66.67,0,50,250,133.33,80,3066.96,1283.38,250,166.67,266.67,33.33,500.01,666.68
19.781,83.33,262.5,66.67,1562.57,650.01,33.33,0,37.5,183.33,66.67,50,2833.58,1016.7,350,66.67,250,66.67,383.34,550.01
21.098,33.33,150,133.33,1262.55,637.51,266.67,0,87.5,333.34,466.67,160,2983.61,933.36,416.67,200,83.33,0,500.01,716.68
22.417,0,250,133.33,1375.06,687.51,83.33,12.5,100,400,150,70,2766.9,783.35,433.34,83.33,150,16.67,383.34,600.01
23.735,33.33,287.5,166.67,1362.55,500.01,183.33,25,25,416.67,166.67,120,2816.91,916.69,233.34,283.34,166.67,16.67,350,650.01
25.053,50,550.01,216.67,2037.62,1962.61,216.67,0,62.5,816.69,733.35,170,3250.33,1016.7,400.01,366.67,133.33,0,416.67,750.02
26.371,0,437.51,133.33,1175.04,550.01,116.67,0,50,500.01,700.02,370,3417.03,1000.03,183.33,1933.46,183.33,16.67,533.34,1033.37
27.689,66.67,3175.3,783.35,7764.28,16357.9,1283.38,12.5,437.51,3850.45,7835.2,1990.12,3500.38,2466.86,383.34,7051.62,150,33.33,450.01,850.02
29.007,16.67,6301.17,900.02,11316.28,22076.88,2083.46,0,700.01,2766.9,11403.96,2820.24,2783.57,2716.9,333.34,6868.2,66.67,0,216.67,733.35
30.325,16.67,6226.14,833.35,9114.95,18047.11,2516.85,25,600.01,3783.77,6434.59,2260.16,2866.92,1850.11,333.34,6651.44,116.67,0,400.01,733.35
31.643,0,3787.92,550.01,8502.13,11704.04,1583.41,0,487.51,2583.54,6367.9,1760.09,3250.33,2350.17,233.34,5167.54,250,0,400.01,666.68
