D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\10ppm-cal7-3.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:42:17 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,0,750.02,0,0,0,0,0,2766.9,430.01,4667.34,3116.97,300,350,200,0,216.67,266.67
2.646,0,512.51,66.67,1650.08,1475.06,916.69,0,87.5,300,4183.87,170,1816.77,1766.76,200,600.01,150,0,333.34,350
3.965,16.67,500.01,83.33,1350.05,1112.54,1166.71,12.5,75,366.67,3967.15,130,2083.47,1766.76,350,650.01,183.33,0,166.67,250
5.283,16.67,525.01,116.67,1100.04,900.02,966.69,0,100,433.34,3050.28,130,2316.83,1550.07,133.33,516.68,50,33.33,116.67,316.67
6.601,33.33,262.5,33.33,1312.55,1262.55,1533.4,0,75,450.01,7985.27,140,1683.42,1466.73,133.33,233.34,133.33,0,266.67,283.34
7.919,16.67,400,100,1575.07,1500.07,950.03,0,37.5,283.34,4450.6,90,2583.54,1233.38,233.34,566.68,183.33,0,516.68,566.68
9.237,0,400,83.33,1687.58,1775.09,1433.39,25,62.5,400,5450.9,190,2900.26,1650.08,116.67,500.01,133.33,0,533.34,250
10.555,33.33,550.01,33.33,1462.56,1150.04,1383.39,0,50,183.33,2750.23,130,2633.55,1716.76,266.67,850.02,166.67,0,483.34,600.01
11.873,33.33,512.51,66.67,1187.54,1412.56,1383.39,12.5,62.5,50,4800.7,160,2016.79,1783.43,266.67,633.35,200,0,433.34,366.67
13.191,0,300,100,1087.53,1100.04,1183.37,0,37.5,250,6117.81,220,3667.08,1583.41,116.67,666.68,166.67,0,366.67,366.67
14.509,66.67,500.01,66.67,1550.07,1175.04,1033.37,0,37.5,166.67,3950.47,180,2450.19,1400.06,100,450.01,216.67,0,350,516.68
15.827,16.67,575.01,166.67,1387.56,1475.06,1483.4,12.5,37.5,316.67,4200.54,80,2533.53,1800.1,283.34,266.67,183.33,16.67,383.34,450.01
17.145,0,212.5,50,1175.04,1287.55,1616.74,12.5,62.5,66.67,9335.98,180,2950.27,2033.46,216.67,350,216.67,16.67,266.67,450.01
18.463,33.33,475.01,50,1062.53,875.02,866.69,0,12.5,283.34,2733.56,100,2083.47,1100.04,216.67,533.34,233.34,0,383.34,566.68
19.781,0,525.01,0,1200.04,1262.55,1083.37,0,37.5,283.34,5267.51,70,2400.18,966.7,250,683.35,133.33,16.67,466.67,166.67
21.098,0,312.5,33.33,1162.54,1000.03,916.69,0,100,350,4900.73,100,2300.16,1750.09,300,450.01,183.33,0,416.67,300
22.417,16.67,475.01,116.67,1112.54,1550.07,1466.73,0,25,283.34,5717.66,130,2700.22,1200.04,233.34,250,166.67,0,483.34,550.01
23.735,33.33,262.5,16.67,1200.04,1125.04,1050.03,0,62.5,466.67,4967.42,130,1966.79,1066.7,166.67,616.68,183.33,0,466.67,350
25.054,16.67,212.5,50,1287.55,1175.04,1283.38,12.5,62.5,416.67,6101.13,180,3683.75,1616.75,166.67,383.34,166.67,0,483.34,466.67
26.372,0,450.01,16.67,1287.55,1150.04,950.03,0,62.5,250,3767.1,120,2566.87,1850.11,133.33,200,166.67,0,333.34,383.34
27.69,0,425.01,50,1100.04,1550.07,1133.37,12.5,75,350,2933.6,190,2283.49,1333.39,150,816.69,166.67,33.33,566.68,450.01
29.008,33.33,512.51,33.33,1250.05,1012.53,650.01,25,62.5,200,6101.13,190,2433.52,1233.38,116.67,583.34,216.67,50,450.01,433.34
30.326,16.67,162.5,33.33,1087.53,1225.04,1183.37,0,100,250,9502.75,110,2466.85,1383.39,283.34,633.35,83.33,16.67,433.34,550.01
31.644,0,250,150,1412.56,1262.55,1066.7,0,0,150,4650.66,220,2583.54,2216.82,233.34,450.01,200,0,433.34,216.67
32.962,16.67,262.5,50,1012.53,1312.55,1266.71,37.5,100,150,6234.52,120,1983.45,1233.38,150,533.34,116.67,16.67,666.68,300
34.28,0,487.51,150,1375.06,1412.56,700.01,0,62.5,250,4267.22,150,1816.77,1950.12,200,266.67,116.67,0,266.67,400.01
35.598,0,587.51,133.33,1862.6,1025.03,1016.7,0,0,150,2850.25,140,3216.99,2133.47,300,450.01,133.33,33.33,383.34,300
36.916,66.67,487.51,33.33,1712.59,1337.55,866.69,0,37.5,183.33,4150.52,150,2216.82,2883.59,216.67,433.34,66.67,16.67,283.34,416.67
38.234,16.67,337.5,133.33,962.53,1262.55,966.69,0,25,133.33,6351.23,160,2866.92,1650.08,233.34,316.67,166.67,0,366.67,416.67
39.552,0,325,233.33,1425.06,1300.05,1266.71,12.5,25,216.67,2833.58,250,2550.2,2216.82,200,416.67,116.67,0,200,483.34
40.87,0,650.01,116.67,1475.06,1437.56,1216.71,37.5,12.5,200,4567.3,100,2316.83,1600.08,150,416.67,266.67,16.67,300,450.01
42.188,16.67,512.51,33.33,1237.55,1312.55,1216.71,0,87.5,166.67,4450.6,70,2150.14,1850.11,266.67,433.34,400.01,16.67,383.34,616.68
43.506,0,350,133.33,1525.07,1475.06,1050.03,0,37.5,66.67,3867.12,100,2700.22,1466.73,283.34,516.68,316.67,33.33,550.01,533.34
44.824,16.67,412.5,100,1150.04,1175.04,1783.43,0,25,116.67,1966.78,70,2550.2,1533.41,283.34,200,233.34,0,700.02,616.68
46.142,33.33,325,50,1437.56,1137.54,1400.06,0,25,333.34,3950.47,160,1983.45,866.69,200,600.01,133.33,0,250,600.01
47.461,0,575.01,166.67,1350.05,1150.04,1500.07,0,75,166.67,3183.64,50,2166.81,2133.47,166.67,533.34,216.67,16.67,400.01,600.01
48.779,0,337.5,116.67,1562.57,1237.55,1183.37,0,37.5,133.33,3683.75,90,2050.13,1216.71,316.67,650.01,300,0,450.01,416.67
50.097,0,312.5,33.33,1412.56,1487.57,1450.06,0,12.5,300,7551.73,50,2050.13,2050.13,233.34,500.01,83.33,0,516.68,300
51.415,50,562.51,66.67,1262.55,1625.08,833.35,0,75,183.33,4133.85,230,2650.22,1200.04,200,316.67,83.33,0,400.01,483.34
52.733,16.67,662.51,100,1112.54,1212.54,1100.04,0,75,183.33,6301.21,130,2216.82,1750.09,300,383.34,183.33,0,433.34,400.01
54.051,33.33,400,116.67,1300.05,1100.04,766.68,0,87.5,333.34,4267.22,140,2583.54,1416.73,250,233.34,116.67,16.67,250,366.67
55.369,16.67,387.5,33.33,1150.04,1262.55,1483.4,0,37.5,200,3333.67,90,2983.61,1516.74,183.33,550.01,183.33,33.33,533.34,333.34
56.687,0,562.51,150,1100.04,1737.59,1133.37,37.5,50,316.67,4050.5,160,3000.28,1350.06,283.34,200,133.33,16.67,433.34,366.67
58.005,33.33,512.51,100,1262.55,1175.04,1700.09,0,37.5,350,7334.97,140,2566.87,2233.49,383.34,316.67,150,33.33,500.01,433.34
59.323,50,550.01,66.67,1450.06,1600.08,1266.71,0,25,283.34,3166.97,80,1933.45,1566.74,300,400.01,133.33,0,783.35,566.68
60.641,16.67,600.01,133.33,1512.57,1400.06,1183.37,0,37.5,233.33,6434.59,130,2950.27,1550.07,366.67,600.01,200,66.67,566.68,583.34
61.959,16.67,400,33.33,1300.05,1525.07,1383.39,0,50,200,3817.11,100,3150.31,1066.7,183.33,366.67,83.33,16.67,400.01,516.68
63.277,16.67,312.5,16.67,1487.57,1625.08,1300.05,0,50,316.67,4900.73,180,2066.8,1650.08,250,383.34,116.67,16.67,816.69,466.67
64.595,16.67,275,100,1450.06,1412.56,1216.71,12.5,37.5,233.33,2783.57,190,2400.18,1383.39,350,416.67,200,0,250,266.67
