D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\300ppm-cal7-1.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 18:12:46 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.329,0,0,0,1437.56,0,0,0,12.5,0,12571.47,11694.18,5117.47,1250.05,383.34,10970.58,183.33,33.33,516.68,1016.7
2.647,50,8502.13,966.69,16895.92,28511.48,1166.71,0,1287.55,7318.29,4333.9,3090.29,3483.71,1300.05,266.67,10603.66,83.33,0,516.68,883.36
3.965,83.33,9752.8,1000.03,15719.79,24905.8,1100.04,12.5,937.53,7134.88,4517.29,3370.35,2616.88,933.36,233.34,12788.66,116.67,0,433.34,766.69
5.283,0,10090.49,1300.05,16257.79,27472.26,1116.7,0,1137.54,8969.1,3216.98,3250.32,3033.62,983.36,400.01,13973.02,233.34,0,566.68,883.36
6.601,33.33,9602.71,1166.71,17346.37,25544.25,1433.39,0,1300.05,6284.53,4617.32,2830.25,3500.38,1150.04,466.67,12405.01,183.33,16.67,416.67,833.36
7.919,0,9114.94,1183.37,16770.79,23591.42,1400.06,0,1075.03,8485.52,3767.1,3430.36,2483.52,1283.38,500.01,11904.61,150,33.33,550.01,1016.7
9.237,0,8589.67,1233.38,18297.37,24680.47,1083.37,25,1350.05,7468.36,4867.39,3860.46,3467.04,1100.04,483.34,13405.85,216.67,0,500.01,883.36
10.555,33.33,9127.45,1116.7,15056.69,27647.55,933.36,0,1375.06,7201.57,3717.09,3575.39,3500.38,1166.71,483.34,10720.4,83.33,16.67,816.69,1000.03
11.873,16.67,9615.22,916.69,15044.18,29037.37,1066.7,37.5,1000.03,6617.99,3850.45,3620.4,3100.3,1450.07,633.35,11537.67,250,0,533.34,750.02
13.191,33.33,8964.86,1166.71,14443.65,30214.43,1133.37,25,1012.53,7818.52,4650.66,3230.32,2750.23,1216.71,366.67,12371.65,133.33,66.67,600.01,800.02
14.509,66.67,10265.6,950.03,16683.21,27785.28,683.35,0,1087.54,8202.04,4033.83,2940.26,2900.26,800.02,400.01,13606.02,216.67,0,666.68,966.7
15.827,50,9540.17,966.69,15995.04,26846.26,933.36,12.5,1050.03,7318.29,3750.43,3450.36,2766.9,1166.71,666.68,10420.2,200,33.33,466.67,1016.7
17.145,33.33,9039.9,933.36,17621.66,26232.8,1000.03,0,1237.55,6901.44,4000.49,2650.22,3166.98,1666.75,350,13055.55,100,16.67,583.34,1150.04
18.463,33.33,9002.38,1083.37,13868.17,30615.15,916.69,12.5,1375.06,6134.47,3250.32,2670.22,3300.34,1016.7,383.34,12371.65,183.33,33.33,483.34,783.35
19.781,33.33,8664.71,1033.36,14881.53,25857.23,1166.71,25,1262.55,6768.05,4633.99,3140.3,3233.66,1066.7,250,10536.95,83.33,0,533.34,1100.04
21.098,33.33,7726.75,1016.7,14894.04,25594.32,1000.03,0,1175.04,7468.36,3750.43,2900.26,3350.35,1183.38,600.01,14089.79,133.33,83.33,483.34,833.36
22.418,16.67,8939.85,1200.04,17096.09,24417.59,983.36,12.5,1200.04,7885.22,3933.8,3270.33,3583.73,1066.7,550.01,11204.09,83.33,0,550.01,1150.04
23.736,116.67,7814.3,850.02,15081.71,24705.51,1100.04,0,1200.04,7668.45,3783.77,3270.33,3483.71,1183.38,700.02,12021.37,183.33,0,633.35,750.02
25.054,16.67,8589.67,1050.03,15532.11,21488.63,616.68,50,1212.54,7685.12,4183.87,3370.35,3033.62,950.03,283.34,11571.02,200,0,583.34,950.03
26.372,66.67,9752.8,1466.73,15632.21,24743.06,983.36,0,1062.53,7901.89,3817.11,2880.25,2866.92,1083.37,400.01,10870.51,116.67,33.33,700.02,750.02
27.69,0,8664.71,1283.38,15457.05,26145.16,1466.73,0,1187.54,8035.29,4050.5,3000.28,3650.41,1016.7,383.34,9703.06,233.34,16.67,550.01,1000.03
29.008,0,8652.2,1300.05,17021.04,25782.11,683.35,12.5,1325.05,7901.89,4433.93,3620.4,3250.33,800.02,433.34,10920.55,150,0,566.68,816.69
30.326,50,10002.94,1183.37,17559.09,26733.59,1250.05,25,1312.55,6134.47,4017.16,3820.45,3833.79,1250.05,616.68,12371.65,183.33,33.33,516.68,950.03
31.644,0,8652.2,1000.03,17171.19,30402.26,733.35,0,1312.55,6968.14,4167.2,3260.33,3050.29,1133.37,533.34,12922.1,183.33,0,550.01,900.03
32.962,0,10190.55,1483.4,17496.53,26433.11,866.69,12.5,1087.54,7501.71,4067.17,3090.29,2683.56,1000.03,333.34,12538.45,283.34,50,716.68,650.01
34.28,66.67,9114.94,966.69,16945.97,28261.06,966.69,12.5,1325.05,5650.97,3733.76,3230.32,2666.89,1216.71,683.35,12555.13,166.67,66.67,800.02,733.35
35.598,33.33,9777.81,1450.06,16295.33,25994.93,1183.37,25,1400.06,7401.66,3433.69,2980.27,3617.07,1033.37,683.35,11721.14,100,16.67,483.34,850.02
36.916,50,8151.95,1133.37,15819.88,27409.66,1033.37,0,1325.05,6417.92,3617.06,3230.32,3233.66,966.7,333.34,14006.38,300,33.33,750.02,850.02
38.234,83.33,9039.9,1016.7,16170.21,23503.8,1183.37,12.5,1337.55,6651.34,3700.42,3030.28,3317.01,966.7,516.68,10970.58,183.33,16.67,550.01,1016.7
39.552,16.67,10015.45,766.68,15006.64,27109.18,1516.74,12.5,1100.04,6968.14,3700.42,3000.28,2433.52,1183.38,466.67,13455.89,116.67,0,600.01,783.35
40.87,16.67,8902.33,1183.37,15319.42,26771.14,1066.7,25,1300.05,7201.57,3917.13,3020.28,2716.89,1050.03,433.34,13772.84,200,0,583.34,866.69
42.188,16.67,9265.02,1083.37,15019.15,24392.56,1100.04,0,1137.54,7068.18,4200.54,2880.25,2933.6,1183.38,383.34,12655.21,200,66.67,583.34,1233.38
43.507,0,8952.36,933.36,15945,29087.46,1183.37,0,1062.53,6934.79,4934.07,3110.3,3633.74,1116.71,383.34,11804.53,166.67,16.67,816.69,933.36
44.825,33.33,9477.64,1000.03,15206.82,26833.74,950.03,12.5,1475.07,7485.03,5300.86,3290.33,2783.57,816.69,666.68,13038.86,266.67,0,583.34,1066.7
46.143,100,9640.23,983.36,14631.31,26545.79,950.03,12.5,1412.56,7268.27,4167.2,3470.37,2783.57,1050.03,350,13305.76,183.33,0,616.68,883.36
47.461,0,9627.73,1100.04,17146.17,26821.22,983.36,25,912.52,7168.22,3500.37,3350.34,2966.94,1016.7,166.67,11120.69,150,16.67,433.34,800.02
48.779,16.67,10115.51,1016.7,15131.75,26095.09,833.35,25,1437.56,6334.55,4450.6,3580.39,3433.7,950.03,550.01,12304.93,216.67,33.33,766.69,800.02
50.097,16.67,8527.14,1200.04,16970.99,27347.06,1083.37,0,1087.54,7384.99,4917.4,3660.41,3267,1166.71,416.67,11704.46,116.67,0,633.35,750.02
51.415,133.33,10002.94,750.02,15744.81,26032.5,1216.71,0,1250.05,7034.83,4417.26,2940.26,3383.69,1066.7,516.68,13756.16,183.33,16.67,633.35,883.36
52.733,16.67,9227.5,866.69,18935.57,27985.61,1216.71,0,925.03,5600.95,3967.15,3430.36,2966.94,1150.04,416.67,10787.12,100,33.33,450.01,716.68
54.051,33.33,8714.73,1050.03,13693.03,26570.83,1016.7,25,1000.03,6951.46,3817.11,3210.32,3633.74,800.02,533.34,11871.25,216.67,0,650.01,600.01
55.369,16.67,8689.72,1050.03,15469.56,27296.99,816.69,25,962.53,6934.79,3983.82,3000.28,3200.32,1066.7,300,11837.89,100,33.33,500.01,1133.38
56.687,16.67,10478.23,1133.37,14718.89,25869.75,1166.71,0,1187.54,7785.17,4067.17,3130.3,3450.37,1183.38,383.34,12438.37,250,16.67,400.01,700.02
